cenere;Asche
melo;Apfelbaum
confessione;Bekenntnis, Beichte, Eingeständnis, Geständnis
diritto;Befugnis, Recht
asparago;Spargel
comico;drollig, komisch, spaßhaft
aggressivo;angriffslustig
confessare;anerkennen, beichten, gestehen, eingestehen
quercia;Eiche
Cairo;Kairo
mondano;weltlich
disporre;disponieren, verfügen
Archimede;Archimedes
cantoniere, casellante;Streckenwärter
balena;Walfisch
ballata;Ballade
curvo;gebogen, krumm
barriera;Barriere, Schranke
questura;Polizeiamt, Polizeiwache
Vietnam;Vietnam
distribuire;austeilen, verallgemeinern, verteilen
Gerico;Jericho
vipera;Natter, Kreuzotter, Viper
stampare;drucken, prägen
Borgogna;Burgund
confermare;bekräftigen, bestätigen, konfirmieren
Asia Minore;Kleinasien
sgradevole, spiacevole;widerwärtig
capotreno;Aufseher, Führer, Schaffner
patto;Einverständnis, Übereinkunft
chiatta;Fähre, Lastkahn
liberare;befreien, entledigen, erledigen, freilassen, frei machen
contravvenzione;Geldstrafe/ Protokoll
Antartico, Antartide, Polo Sud;Antarktis, Südpol
destra;Steuerbord
Caino;Kain
cascata;Wasserfall
arbusto;Gebüsch, Staude, Strauch
tassare;besteuern
bibliotecario;Bibliothekar
birraio;Brauer
ragione;Rationalität
noce;Nussbaum/ Nuss
fissare;befestigen, festsetzen, fixieren/ starren, anstarren
sferico;sphärisch
Balcani;Balkan
indulgenza;Ablass
antenna;Rahe, Fühler, Antenne
ardere;brennen
accappatoio;Bademantel
gelarsi, congelarsi;erfrieren
chiacchierona;Schwätzerin, Quasselstrippe
tonno;Thunfisch
sopracciglio;Augenbraue
esilio;Exil, Verbannung
sputare;speien, spucken
muto;sprachlos, stumm
album;Album
rompere;abreißen, losreißen, pflücken, abpflügen/ brechen, abbrechen, aufbrechen
Torino;Turin
ciliegio;Kirschbaum
granturco;Mais
ostinato;eigensinnig, halsstarrig, hartnäckig, starrköpfig, trotzig
passeggiata;Foyer
prua;Bug
plenilunio;Vollmond
entusiasmo;Begeisterung, Enthusiasmus
Azerbaigian;Aserbaidschan
sostegno;Stütze
aggredire, assalire;ein Attentat ausführen
lenza;Angelleine
carciofo;Artischocke
pernice;Rebhuhn
faggio;Buche
favorire;begünstigen
superstizioso;abergläubisch
barbiere;Barbier
mistura;Gemisch
soffitto;Decke, Zimmerdecke
estorcere;erzwingen
bacca di mirtillo;Blaubeere, Heidelbeere
assalitore, aggressore;Angreifer, Aggressor
dose;Dosis
sempre;allemal, allzeit, fortwährend, immer, jederzeit, stets
ambasciata;Gesandtschaft/ Botschaft
arcivescovo;Erzbischof
Aquisgrana;Aachen
calunniare;anschwärzen, fälschlich beschuldigen, verleumden
canna;Angelrute
energia atomica;Atomenergie, Atomkraft, Kernenergie
decreto;Dekret
batteria;Batterie
Milano;Mailand
erpice;Egge
aurora;Morgenröte, Polarlicht, Reiz des Neuen, Zauber, Morgenrot
bibita, bevanda;Getränk, Trank
labirinto;Labyrinth
continuare;fortfahren, fortführen
riservare;reservieren, vorbehalten, zurückbehalten
giurare;beeidigen, schwören, beschwören
sbadato, negligente, noncurante;achtlos, fahrlässig
zoppicare;hinken, humpeln
Giosuè;Josua
promozione;Promotion
betulla;Birke
cavolfiore;Blumenkohl
rifiutarsi;ablehnen, abschlagen, ausschlagen, versagen, weigern, verweigern
incitare, spronare;anreizen, aufhetzen, reizen, aufreizen
Adone;Adonis
sogliola;Seezunge
impiegare, usare;anwenden, benutzen, brauchen, gebrauchen, verwenden, verwerten
tristezza;Betrübnis
lardo;Speck
Anversa;Antwerpen
pisello;Erbse
virgolette;Anführungsstriche, Gänsefüßchen, Anführungszeichen
Groenlandia;Grönland
baia;Bucht
esca;Köder
aia;Dreschtenne, Tenne
fata;Fee
console;Konsul
Artico;Arktis
indiano, indiano americano;Indianer
fraternità;Brüderlichkeit
babordo;Backbord
carta assorbente, carta asciugante;Löschpapier
dogana;Zollamt
concimare;düngen
brasiliano;Brasilianer
infettare;anstecken, infizieren
tremare;beben, zittern, zucken
bloccare;blockieren
esortazione, ammonimento;Ermahnung, Zuspruch
scheletro;Gebein, Gerippe, Knochengerüst, Skelett
Nembrod;Nimrod
anarchia;Anarchie
causa;Anlass, Grund, Ursache, Veranlassung
alveare, arnia;Bienenstock/ Bienenkorb
frizione;Kupplung
parapetto;Balustrade, Geländer, Schranke
collega;College
apicoltura, apicultura;Bienenzucht
polso;Handgelenk/ Puls
algerino;algerisch/ Algerier
ungherese;Ungar
scalpello;Meißel, Stemmeisen
apprestare;zurichten
fallimento;bankrott, zahlungsunfähig/ Bankrott, Konkurs, Pleite
Annunciazone;Mariä Verkündigung
trattato;Abhandlung, Traktat
genitori adottivi;Pflegeeltern
fieno;Heu
tempia;Schläfe
infame;ehrlos
