cenere;Asche
pacificare;besänftigen, dämpfen, züchtigen
zucca;Kürbis
trebbiatrice;Dreschmaschine
ammiraglio;Admiral
coccodrillo;Krokodil
Corsica;Korsika
decorare;aufputzen, schmücken, verzieren
beretta;Barett
diligenza, applicazione;Fleiß
rame;Kupfer
idolo;Abgott, Götze, Idol
raschiare;kratzen, ritzen
Sicilia;Sizilien
rilegatore;Buchbinder
frontiera, confine;Grenze, Schranke
ascesso;Abszess/ Eiterbeule, Geschwulst
arbitro;Schiedsrichter
albanese;albanisch/ Albaner
approfittare;profitieren
Arabia;Arabien
arresto;Arrest, Haft
constatare;als Tatsache feststellen, konstatieren
sgombro;Makrele
salvia;Salbei
drago, dragone;Drache
umore;Humor, Laune, Stimmung
succiello;Bohrer
grandine;Hagel
desiderabile;erwünscht
salto;Sprung
macchina da scrivere;Schreibmaschine
roccia;Fels, Felsen, Steinmasse
suffisso;Suffix
pungiglione, aculeo;Stachel
vecchio;alt, bejahrt, betagt
gazza;Elster
dragare;baggern, ausbaggern
fontana;Brunnen, Fontäne, Springbrunnen
sconsigliare;entraten
fiducia;Zuversicht/ Vertrauen
debilitare;erschlaffen
attentato;Anschlag, Attentat
separato;abgesondert, einzeln, seperat
carta igienica;Toilettenpapier
duello;Duell
all'estero;im Ausland/ auswärtig
sbarrare;hindern, sperren, versperren
ricovero, asilo;Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt
elemosina;Almosen
tromba;Hupe/ Trompete
offerta;Offerte
lusingare;schmeicheln
sgelare;tauen, auftauen
superstizione;Aberglaube
sofisma;Sophismus
pastura;Futter, Weide
cloro;Chlor
alsaziano;elsässisch/ Elsässer
andatura;Eile, Geschwindigkeit, Hast
capra;Ziege, Zicke
angoscioso, pauroso;bang, feige/ zaghaft
olivo;Olivenbaum/ Ölbaum
giudizio;Gericht, Gutachten, Spruch, Urteil
branchia;Kieme
vicolo;Gasse
bar;Büfett, Schankraum
pelegrinaggio;Wallfahrt
delfino;Delphin
Bretagna;Bretagne, die Bretagne
figliastro;Stiefsohn
badia;Abtei
pulce;Floh
gengiva;Zahnfleisch
tendine d'Achille;Achillessehne
perno, assale;Achse
derivare;ableiten, herleiten
nocivo;schädlich
assediare;belagern
Firenze;Florenz
acceleratore;Gaspedal, Beschleuniger
amnistia;Amnestie, Begnadigung, Straferlass
nocciola, nocciuola;Haselnuss
formula;Formel
contabilità;Buchhaltung
divisibile;teilbar
banchiere;Bankier
agile, snello;behende, gewandt
grappolo di uva;Weintraube
incinta;schwanger, trächtig
diplomatico;Diplomat
giardiniere;Gärtner
giraffa;Giraffe
Tailandia;Thailand
aringa;Hering
lavanderia;Waschanstalt
regno;Königreich
promessa;Gelöbnis, Versprechen, Zusage
congiungere;fügen, gesellen, vereinigen
creta;Kreide
annegare;ertränken
cricco;Winde, Zahnstangenwinde, Wagenheber
separare;absondern, abteilen, abtrennen, scheiden
allora;damals, dann, hierauf
crescimento;Vermehrung, Wuchs, Zunahme, Zuwachs
isolato;vereinsamt
pallottoliere;Abakus, Kugelmaschine, Rechenmaschine
copiare;plagiieren, nachdrucken, lichtpausen, spiegeln, Abzug machen, abziehen, kopieren, nachahmen, nachäffen
ristorante;Restaurant, Restauration
castagna;Kastanie
agire;agieren, handeln, verfahren, vorgehen, wirken
bue;Ochs
mascella;Kiefer, Kinnlade
sedere;After, Gesäß
bicchiere;Glas/ Becher, Pokal
angelo;Engel
sabbia;Sand
gelso;Maulbeerbaum
falce;Hippe, Sense
volpe;Fuchs
far male;Schmerz verursachen, schmerzen, weh tun
Armenia;Armenien
cesso, gabinetto, ritirata;Abort, Abtritt
antracite;Anthrazit
domandare;fragen, anfragen
epopea, poema epico;Epik, Heldengedicht
Uruguai;Uruguay
inquieto;bang
passero;Spatz, Sperling
mal di pancia;Bauchweh
dividere;dividieren, teilen, einteilen, gliedern, verteilen, zerlegen
opprimere;erpressen, unterdrücken
gioielliere;Juwelier
guardaroba;Garderobe, Kleidung, Zeug
Alsace, Alsazia;Elsass
adottare;adoptieren
ammortizzare;amortisieren, löschen
ottone;Messing
prezzemolo;Petersilie
spiga;Ähre
certamente;allerdings, freilich, gewiss, immerhin, wohl, zwar
polacco;Pole
fico;Feigenbaum/ Feige
comitato;Ausschuss, Komitee
sopportabile, tollerabile;tolerierbar
nano;Zwerg
incudine;Amboss
fumaiuolo;Schornstein
spiare;belauschen, spionieren
pialla;Hobel
avena;Hafer
pioniere, iniziatore;Bahnbrecher, Pionier
bagnante;Badegast
allodola;Lerche
pesce persico;Barsch, Flussbarsch
merlo;Amsel
promuovere;promovieren
svenirsi;in Ohnmacht fallen, ohnmächtig werden
barbaro;barbarisch/ Barbar
Cappuccetto Rosso;Rotkäppchen
stima, considerazione, riguardo;Achtung, Verehrung
megera;Weib
Angola;Angola
passaggio a livello;Bahnübergang
millepiedi;Skolopender, Bandassel, Tausendfuß
Lisbona;Lissabon
filo;Draht/ Faden, Garn, Senkel, Zwirn
Azzorre;Azoren
penna stilografica;Füller, Füllfeder
muovere;bewegen, erregen
polpaccio;Wade
torre;Turm, Zwinger
credito;Kredit
antisettico;antiseptisch, fäulniswidrig
di buon'ora;früh, zeitig
cappotta;Haube
autocrate;Autokrat, Selbstherrscher
rapa;Rübe
risa;Gelächter, Lache
mal di mare;Seekrankheit
petrolio;Petroleum
censore;Zensor
fisarmonica;Akkordeon, Schifferklavier, Ziehharmonika, Harmonika
proprietario;Eigentümer, Inhaber
illuminare;illuminieren
abate;Abt
battaglione;Bataillon
convertire;bekehren, umstimmen
aiuto;Hilfe/ Beihilfe, Beistand, Handreichung
aratro;Pflug
pugnale;Dolch
pronipote;Großenkel, Urenkel/ Großneffe
allume;Alaun
Adamo;Adam
sbalordire;in Verwunderung setzen, verwundern
scoprire;abdecken, entdecken, enthüllen
Appennini;Apenninen
sughero;Kork, Pfropfen, Stöpsel
spina dorsale;Rückgrat
variazone;Variation
assiro;assyrisch/ Assyrer
orso bianco;Eisbär
Città del Capo;Kapstadt
stendardo;Banner, Fahne, Standarte
Alessandria d'Egitto;Alexandria
scommettere;wetten
compagnia;Gesellschaft/ Rotte, Kompanie/ Sozietät
barbabietola;Bete, Mangold, Runkelrübe
sala da pranzo;Speisesaal, Speisezimmer
recitare;rezitieren, vortragen
flanella;Flanell
secrezione;Sekret
bufalo;Büffel
Città del Vaticano;Vatikanstadt
Indocina;Hinterindien
Afghanistan;Afghanistan
felice;glücklich
Normandia;Normandie, die Normandie
percorrere;durchgehen, durchqueren, hindurchgehen
palpebra;Augenlid
occupare;bekleiden, besetzen, einnehmen, in Anspruch nehmen
soglia;Schwelle
Bacco;Bacchus
generazione;Generation, Geschlecht/ Nachkommenschaft, Nachwuchs
minerale;Mineral
pungere;stacheln, stechen, sticheln
spina;Dorn, Stachel
derubare;berauben
presente;Geschenk, Spende, Vermächtnis/ anwesend
calderotto;Kessel
salvo, eccetto;ausgenommen
cinghiale;Eber, Wildschwein
cavalletta;Grashüpfer, Heuschrecke/ Wanderheuschrecke
bacino;Becken, Schale
macinare;mahlen
perito contabile;Buchrevisor
Befana, Epifania;Dreikönigsfest
ambizione;Ehrgeiz
indicazione;Anzeige, Angabe
flauto;Flöte
Anatolia;Anatolien
monotono;eintönig, monoton
impero;Kaiserreich, Kaisertum
pinna;Flosse
apostolo;Apostel
Castiglia;Kastillien
capostazione;Bahnhofsvorsteher
acquaforte;Scheidewasser
banale;abgedroschen, banal, fade
bandire, esiliare;bannen, ins Exil schicken, verbannen
lisca;Gräte
bazar;Basar, Markt, Warenhaus
concordia;Eintracht, Einmütigkeit
castagno;Kastanienbaum
cimitero, camposanto;Friedhof, Gottesacker, Kirchhof
attraversare;übergeben, übertreten
annessione;Annexion, Angliederung
lusso;Aufwand, Luxus
compito;Arbeit, Aufgabe, Pensum
accendino, scintilla;Funke
altare;Altar
norvegese;Norweger
squama;Schuppe
spezzare;brechen, abbrechen, aufbrechen
cacto;Kaktus
dote;Mitgift
ortica;Brennessel
votare;abstimmen, wählen/ votieren
accento;Akzent, Betonung, Ton
costola;Rippe
abominevole;garstig
ricompensare;lohnen, belohnen, vergelten
dono, regalo;Geschenk, Spende, Vermächtnis
Lituania;Litauen
Giordano;Jordan
miele;Honig
Genova;Genua
distillare;destillieren
destrezza;Geschicklichkeit, Gewandtheit
sciopero;Strahl/ Strahlen, Radius, Halbgerade, Radioapparat, Radio, Radiogerät, Rundfunkempfänger, Rundfunkgerät
Atlantide;Atlantis
Orfeo;Orpheus
foca;Seehund
Cremlino;der Kreml
equatore;Äquator
bilancia;Waage
armare;waffnen, bewaffnen, rüsten
abdicazione;Abdankung
capro becco;Ziegenbock
cipollina;Schnittlauch
vanitoso;eitel, hinfällig
far fronte a;konfrontiert sein (mit), gegenüberstehen/ widerstehen
stimolare;anregen, reizen, anreizen, stimulieren
agenzia;Agentur
rimpianto, pentimento;Buße
invidiare;beneiden
rugiada;Tau
arcobaleno;Regenbogen
assistente;Assistentin/ Assistent
duna;Düne
doccia;Dusche, Sturzbad
MercoledÌ delle Ceneri, Ceneri;Aschermittwoch
pioppo;Pappel
sfruttare;ausbeuten, ausnutzen
contributo;Beisteuer, Kontribution
orizzonte;Gesichtskreis, Horizont
assioma;Axiom, Grundsatz, Grundwahrheit
acquazzone;Regenschauer
convertito;Proselyt
orlogiaio;Uhrmacher
fango;Dreck, Kot, Schlamm, Schmutz
Tamigi;Themse
armeno;armenisch/ Armenier
foco;Brennpunkt, Fokus
onnisciente;allwissend
bomba atomica;Atombombe, Nuklearbombe
bambù;Bambus
Sardegna;Sardinien
vespa;Wespe
cranio;Schädel
catrame;Teer
pulizia;Reinheit, Reinlichkeit, Sauberkeit
carne di montone;Hammelfleisch
vescica;Blase
radioterapia;Strahlentherapie
difetto;Verderbnis
Abissinia;Abessinien
calce;Kalk
palma;Handfläche
cedere;abtreten, nachgeben, weichen
notaio;Notar
alcool denaturato;Brennspiritus
gabbiano;Möwe
pomo d'Adamo;Adamsapfel
galera;Galeere
destinario;Empfänger
frassino;Esche
sensato;gescheit, klug, vernünftig, verständig
avvelenare;vergiften
rilegare;binden, einbinden
vongola;Miesmuschel
abaco;Abakus, Kugelmaschine, Rechenmaschine
indivia;Endivie
Galles;Wales
seccare;dörren, trocknen, austrocknen/ verdorren
olmo;Ulme
capacità;Kapazität
clero;Geistlichkeit, Klerus
divisione;Sektion
amabile;liebenswürdig/ allerliebst, anmutig, hold, lieblich, reizend
sfera;Sphäre
Damasco;Damaskus
battezzare;taufen
Cerbero;Höllenhund, Zerberus
penetrare;durchdringen, eindringen
Città del Messico;Mexiko-Stadt
decimetro;Dezimeter
moglie;Frau, Gemahlin
galleria;Galerie, Stollen, Wandelgang
abbonamento;Abonnement
Venecia;Venedig
oscurità, tenebre;Dunkelheit
rinviare;zurücksenden
compare;Gevatter, Pate
Alasca;Alaska
duetto;Duett
alta marea;Flut, Zufluss
razza;Rasse
fungo;Erdschwamm, Pilz
volare;fliegen, huschen
caviglia;Knöchel
scultura;Bildhauerwerk
piacevolmente;annehmlich
Aristotele;Aristoteles
appartenere;gehören, angehören, zugehören
badessa;Äbtissin
autorità;Autorität, Gewalt
coda;Fahne, Lunte, Schleppe, Schweif, Wedel
approvare;billigen, genehmigen, gutheißen
fendere;spalten
scorza;Bast
asse;Achse/ Brett, Regal, Wandbrett
versare;gießen, schütten
pista ciclabile;Radweg
giusto, giustamente;bündig
tettoia;Vordach/ Markise
respirazione;Atmen, Atmung
Nabucodonosor;Nebukadnezer
soffocare;erdrosseln, ersticken, erwürgen
friggere;backen, braten
arsenale;Arsenal, Zeughaus
caserma;Kaserne
vaso da fiori;Blumentopf
Andorra;Andorra
Apocalisse;Apokalypse
elegante;elegant, geschmackvoll
asciugamano di spugna;Badetuch
abrogazione, abolizione;Abschaffung, Aufhebung
condotto;Rohr, Röhre, Schlauch
cecita;Blindheit
Zurigo;Zürich
fiammifero;Streichholz, Zündholz
esportatore;Exporteur
fiaccola, torcia;Fackel
vomitare;sich erbrechen, sich übergeben
apicultore, apicoltore;Imker, Bienenzüchter
cerchio;Zirkel
regolare;reguläre (Matrix), regulär, regelmäßig, reguläre (Distribution), regelmäßiges (Vielflach), regelmäßiges (Vieleck)
frangia;Franse
cravatta;Halsbinde, Krawatte, Schlips
automa;Automat
ammuffito;moderig
Libano;Libanon
Vienna;Wien
Birmania;Birma
antologia;Anthologie, Auswahl
Mecca;Mekka
anemone;Anemone, Windröschen, Küchenschelle
batterio;Bakterie
peso;Gewicht, Wucht
bile;Galle
folla;Haufen, Menge, Stapel
bassa marea;Ebbe
Mar Egeo;Ägäische Meer
danno;Schaden, Sachschaden
biliardo;Billard
fraterno;brüderlich
Alsazia-Lorena;Elsass-Lothringen
passare;herreichen, verbringen, zubringen
amministrare, dirigere;verwalten
scomunica;Bann, Exkommunikation
ardesia;Schiefer, Schiefergestein
contante;bar
licenzioso, dissoluto;unbändig, zügellos
chiacchierare;plaudern, schwatzen
trattare;behandeln, traktieren
scoiattolo;Eichhörnchen
bastione, baluardo;Bastei, Bastion, Bollwerk
alcova;Alkoven
Cipro;Zypern
discendere;entspringen, entstehen, herkommen, stammen, abstammen
alimentare;nähren, ernähren, beköstigen
ricevuta;Quittung
torace;Thorax, Brustkorb
spegnere, spengere;auslöschen, dämpfen
gufo;Eule
smercio;Absatz, Debit, Vertrieb
accomodamento;Einrichtung, Zusammenstellung/ Einverständnis, Übereinkunft
nobiltà;Adel
droghiere;Drogist
appoggiare, poggiare;stemmen, unterhalten, unterstützen
infedele;treulos
saldare;saldieren
salcio, salice;Weide
maldicenza;Verleumdung
fortuna;Fortuna, Gunst des Schicksals, Glück
Achille;Achilles
pompa;Pumpe
calvo;kahl
ananas, ananasso;Ananas
Islanda;Island
fare il pugilato;boxen
