alcalde;Bürgermeister
representar;repräsentieren, vertreten, vorstellen
argentino;argentinisch / Argentinier
plano;eben, glatt, flach / Karte / Entwurf, Plan, Grundriss
abrogar, abolir;abschaffen, aufheben / einstellen / beseitigen, entfernen, fortschaffen, wegbringen
sospechar;argwöhnen, verdächtigen
aceptable, admisible;annehmbar / akzeptabel
voltaje;Spannung
cama;Schlafgemach / Bett
manual;Handbuch, Leitfaden, Kompendium
llama;Flamme
anualmente;jährlich
adjetivo;Adjektiv, Eigenschaftswort
procurarse;erbeuten, erlangen, erringen, habhaft werden, sich erwerben / kaufen, sich kaufen, einkaufen
alarma;Alarm
tomo;Band, Volumen
convenio;Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung / Einverständnis, Übereinkunft
tumor;Tumor / Schwellung, Wulst
escupir;speien, spucken / ausspeien, auswerfen
indigente;arm / unvermögend
Rumania;Rumänien
conmovedor;ergreifend
deletrear;buchstabieren
helicóptero;Hubschrauber
dinamarqués, danés;dänisch / Däne
disposición;Talent / Brauchbarkeit, Tauglichkeit
diariamente;täglich, alltäglich
estar tendido;gelegen sein, liegen
medroso, miedoso;bang, feige
controlar;kontrollieren, nachsehen, überwachen
detestar;verabscheuen
reunirse;beitreten, sich anschließen
distracción;Zerstreuung, Ablenkung, Vergnügen / Erholung
corriente;Strom / strömend / Strömung / elektrischer Strom
almendrero, almendro;Mandel, Mandelbaum
discoteca, discoteka;Diskothek
sudafricano;südafrikanisch
cazar;jagen
afable;liebenswürdig
mejikano;mexikanisch
cuerpo de bomberos;Feuerwehr
maleta;Koffer / Handkoffer
bañador;Badehose
afeitar;barbieren, rasieren
tutear;duzen
islas Filipinas;Philippinen, die Philippinen
a cuadros;kariert
razonable;annehmbar, akzeptabel
almohada;Kissen, Kopfkissen
naipe;Spielkarte
julio;Juli / Joule
mantequilla;Butter / Blaubeere, Heidelbeere
viña;Weinberg
ahogarse;ersaufen, ertrinken
riesgo;Risiko, Wagnis
cuenta;Faktura, Rechnung, Warenrechnung / Kalkül / Konto
pichón, paloma;Taube
baya;Beere
temer;befürchten, sich ängstigen, zagen
milímetro;Millimeter
transportar;befördern, übertragen
suscribirse, abonarse;abonnieren
conminación, amenaza;Bedrohung, Drohung
mantel;Tischtuch
demoler, derribar;niederreißen, abbauen
crimen;Frevel, Verbrechen, Vergehen
octavo;achte
puño;Faust
desde;von ... ab, seit
azul;blau / Azur
dos veces;zweimal
obtener;erbeuten, erlangen, erringen, habhaft werden, sich erwerben / bekommen, empfangen, erhalten
por lo más;zumeist
correo aéreo;Luftpost
citación;Zitat, Anführung
artístico;künstlerisch, Kunst...
ay;oh! / weh, wehe
apresurarse;eilen, sputen
gratuito;unentgeltlich
enmohecerse;schimmeln, verschimmeln
huir;fliehen, flüchten
mostaza;Senf
ausencia;Abwesenheit
tráfico;Verkehr
tributo;Abgabe, Steuer, Steuerabgabe / Tribut
reducción, descuento;Nachlass, Rabatt, Vergünstigung, Vergütung
África del Sur;Südafrika
arrancar;abreißen, losreißen, pflücken, abpflügen / anstellen / anlaufen / erzwingen / abräumen, fortnehmen, entziehen, wegnehmen
taco;Bolzen / Nagel, Stift
citar;anführen, erwähnen, nennen, zitieren
estufa;Herd, Ofen
medir;messen, abmessen
mármol;Marmor
reverso;Rückseite, Kehrseite
revisor, cobrador;Aufseher, Führer, Schaffner / Kondukteur
mentir;flunkern, lügen, belügen
crudo;arg, rauh, roh
IVA;Mehrwertsteuer
a título de, como;als, wie, inwiefern
crepe;Pfannkuchen
caballos, fuerza de caballos;Pferdestärke / PS
amputar;amputieren
acomodar, adaptar;adaptieren, anpassen
pasada;vorig
París;Paris
academia;Akademie
bomba;Bombe / Pumpe
entonar;anstimmen
pecho;Brust, Busen
Cruz Roja;Rote Kreuz
proyectar;entwerfen, planen
inteligencia;Auffassung, Begriff, Verständnis
afectuosidad;Anhänglichkeit / Hingabe
sello;Briefmarke / Gepräge, Stempel
confirmar;bejahen, ja sagen / bekräftigen, bestätigen, konfirmieren
cámara de aire;Schlauch
parte trasera;Hinterseite, Rückseite
declararse en huelga;streiken
ofensa, injuria;Beschimpfung / Anstoß, Beleidigung, Kränkung
unirse;sich vereinigen, zusammengehen
alimento;Ernährung, Futter, Nahrungsmittel
contiguo, adyacente;angrenzend, anstoßend / benachbart
bicicleta;Fahrrad, Rad
detención, arresto;Verhaftung, Festnahme / Arrest, Haft
avergonzarse;sich schämen
apelación;Appellation, Berufung
infección;Ansteckung, Infektion
Nueva York;New York
desear;ersehnen, lechzen nach / wünschen
responder, contestar;antworten, beantworten, entgegnen, erwidern
indicación, indicio;Hinweis, Index, Indiz / Anzeige, Angabe
texto;Text
tabla;Brett, Regal, Wandbrett / Latte / Tafel
célibe, solterón, soltero;Junggeselle
desierto;Einöde, Wildnis, Wüste
amenazar, conminar;bevorstehen, drohen
oso;Bär
consecuente;konsequent, folgerichtig
balneario, aguas;Badeort
injuriar;beleidigen, schimpfen, beschimpfen, schelten
goma;Gummi / Radiergummi
entristecer, afligir;bekümmern, betrüben
ideal;ideal, musterhaft, vorbildlich, ausgesucht
importancia;Tragweite, Wichtigkeit
consejero;Ratgeber, Berater / Rat
Suiza;Schweiz, die Schweiz
cuarto de baño;Bad / Badestube
fundar;fundieren, gründen, begründen
departamento;Abteil, Coupé, Kupee / Sektion
atreverse;wagen
aventura;Abenteuer
músculo;Muskel
conducirse;sich aufführen, sich benehmen, sich betragen, sich verhalten
computador, ordenador;Computer, Datenverarbeiter / Zähler, Rechner
reñir, disputar;streiten, zanken
a tiempo;beizeiten, zeitig, zur rechten Zeit
terremoto;Erdbeben
golpe;Hieb, Schlag, Streich
sastre;Schneider
Brasil;Brasilien
vena;Ader, Vene
plantar;legen, stecken, pflanzen, anpflanzen
apróximadamente, a eso de;annähernd, etwa, ungefähr
astronauta;Astronaut, Weltraumfahrer
fidedigno;glaubhaft
en un principio;anfänglich
competir;konkurrieren, wetteifern
Finlandia;Finnland
fuerte;kräftig, stark / fest, befestigt, haltbar, wiederstandsfähig / gesetzt, solide
diapositiva;Diapositiv, Dia
en el extranjero;im Ausland
serpiente;Schlange
león;Löwe
levantarse;aufstehen, sich stellen / sträuben
catedral;Dom, Kathedrale, Münster
agrado;Gefallen
malo;falsch, irrig / böse, schlecht
como si;als ob, gleichsam
ceremonia;Feierlichkeit, Förmlichkeit, Zeremonie
consulado;Konsulat
jugo de manzana;Apfelsaft
agrio;herb, sauer / Säure
despedirse;verabschieden, ausloggen, abmelden
riñón;Niere
ganancia;Errungenschaft, Neuerwerbung, Neuanschaffung / Beute, Erwerb
prudente;vorsichtig, rücksichtsvoll
dulce;süß / Leckerbissen, Näscherei
tratar;behandeln / traktieren
comparar;vergleichen
visado;Visum
dimensión;Ausdehnung, Dimension
profesional;beruflich, Berufs-, berufsmäßig, Gewerbe-, gewerbsmäßig
construir;bauen, aufbauen, erbauen, konstruieren
neutral;neutral, sächlich
parir, dar a luz;gebären, zur Welt bringen
yerba, hierba;Gras / Kraut
quedar;liegen
accionista;Aktieninhaber, Aktionär
cartera;Aktentasche
tocar la campanilla;anläuten, klingeln, anklingeln
adverbio;Adverb, Umstandswort
subscriptor, suscriptor, abonado;Abonnent
explicación;Erklärung / Aufklärung, Erläuterung
favorable;gewogen, gnädig, günstig, hold
judía verde, judía;Bohne, Gartenbohne
japonés;japanisch / Japanisch, japanische Sprache / Japaner
curar;behandeln, heilen, kurieren / genesen, wiederherstellen
bandeja;Präsentierteller, Tablett
querer decir;bezwecken, trachten nach, zielen
tinta;Tinte
historia en imágenes;Comic, Bildergeschichte
vatio;Watt
platillo;Becken (Musikinstrument), Zimbel / Untertasse
zapatero;Schuhmacher, Schuster
máximo;maximal, maximales (Ideal), maximales (Element)
recomendable;empfehlenswert, ratsam
Indonesia;Indonesien
ciruela;Pflaume
recomendación;Empfehlung
insolación;Sonnenbrand, Sonnenstich
instigar;anreizen, aufhetzen, reizen, aufreizen / anstiften, veranlassen / antun, bewirken, verursachen, zufügen
coronar;krönen
sosegado, tranquilo;gelassen, gemütlich, ruhig, still
resumen;Übersicht
sembrar;säen
panne, averia, pana;Panne
registrar;examinieren, inspizieren, nachsehen, prüfen, untersuchen / kontrollieren, überwachen / registrieren
estación de servicio;Tankstelle
compromiso;Kompromiss
boda;Hochzeit
control;Nachprüfung, Überprüfung, Kontrolle, Prüfung
regalo;Geschenk, Spende, Vermächtnis
de hierro;eisern, aus Eisen
dibujar;zeichnen, abzeichnen
Mediterráneo;Mediterran / Mittelmeer
astilla;Splitter
mono;Affe
celebrar su cumpleaños;Geburtstag haben
derruirse, desmoronarse;bröckeln
ascensor;Aufzug, Fahrstuhl, Lift
hueso;Gebein, Knochen
calzoncillos;Unterhose
diferente, distinto, disferente, divergente;verschieden, verschiedenartig
bigote, bigoti;Schnurrbart
aparte;abgesondert, einzeln, seperat / besonders, eigens
asegurador;Versicherer
domicilio;Wohnort, Wohnsitz
eslavo;slawisch / Slawe
diccionario;Wörterbuch
dar a destajo;öffentlich ausschreiben, verdingen
inclemente, severo;streng
Cristo;Christus
asombrarse;sich wundern, staunen
indígena;einheimisch
descuidar;vernachlässigen
pretensión;Heiratsantrag / Anspruch
conexión;Beziehung, Hinsicht, Verbindung, Verhältnis
sobretodo, principalmente;besonders, eigens, insbesondere, vornehmlich, vorzüglich, zumal
nacer;entstehen
ruido;Aufsehen / Hall, Klang, Laut, Schall, Ton / Aufruhr, Aufstand, Getümmel, Krawall, Tumult
empujar;dringen, rücken, stoßen, treiben
por decirlo así;gewissermaßen
estanque;Teich, Tümpel, Weiher
bucear;tauchen, eintauchen, untertauchen
escarpado;abschüssig, steil
cueva;Grotte / Grube, Höhle
dimitir;zurücktreten, sein Amt niederlegen, demissionieren / abdanken
plemear;Flut
disfrutar;genießen, sich freuen an
Escandinavia;Skandinavien
tirante;anstrengend
reprender, reprobar;zurechtweisen / schelten, vorwerfen, Vorwürfe machen
proposición;Antrag, Gebot
pico;Schnabel / Specht
reparo;Beurteilung, Prüfung, ungünstige Besprechung, Tadel, negative Beurteilung, Kritik, Besprechung
definir;bestimmen, definieren
cebolla;Zwiebel
chuleta;Kotelett, Schnitzel
autónomo;selbständig, unabhängig, autonom, selbstverwaltend
ganso, oca;Gans
entregar;einhändigen, überreichen, zustellen / liefern / herreichen, verbringen, zubringen / angeben, aushändigen, überliefern
rebanada;Butterbrot
figurarse;erdichten, sich einbilden, sich vorstellen
aversión;Abscheu, Greuel / Abneigung, Antipathie, Wiederwillen / Ekel, Übelkeit
franqueo;Frankatur, Porto
club;Klub
continuo;fest / beständig, konstant, ständig, stetig, unablässig / ununterbrochen / unendlich, unaufhörlich
pimiento, ají;Paprika
en principio;aus Prinzip, grundsätzlich, prinzipiell
obispo;Bischof
expiración, vencimiento;Endung
insulto;Beschimpfung
cuesta;Abhang, Halde, Steilung
digresar;abschweifen, vom Thema abkommen
adelantar;überholen
Alcorán;Koran
boca;Mund, Mündung
bienvenido;willkommen
conocimiento;Begriff, Kenntnis, Kenntnisse
bonito;freundlich / hübsch, schön / nett / entzückend / allerliebst, anmutig, hold, lieblich, reizend
áspero;holperig / streng
pescar;fischen
activo;aktiv, tätig / Aktiv, Tätigkeitsform, Haben, Forderungen, Aktiva, Einlagen / arbeitsam, geschäftig / transitiv, übergehend
acera;Bürgersteig, Gehweg
hígado;Leber
de segunda mano;gebraucht, aus zweiter Hand
remitente;Absender
rebaja;Nachlass, Rabatt, Vergünstigung, Vergütung / Reduktion
estanco;Tabakladen
aconsejar;raten, beraten, ratgeben
estipular;voraussetzen, bedingen
describir;beschreiben
entero;ganz, total
