Bestimmung, Verhängnis, Fügung, Geschick, Los, Schicksal;fate
Luftschiff;airship
besonders, extra;extra
anglotzen;to gape
Varieté, Varietéprogramm;variety entertainment
Barbar;barbarian
alphabetisch, elementar;abecedarian
athenisch, Athener;Athenian
Überzeugung, Glaube, Glauben;belief
Kanarienvogel;canary
Feige;fig
Rundblättriges Hellerkraut;round-leaved penny-cress
Gaffer;loafer
Rochen;stingray
Venus;Venus
Demonstrativpronomen, hinweisendes Fürwort;demonstrative pronoun, demonstrative
Aphrodite;Aphrodite
Verleumdung, Ärgernis, Skandal;scandal
Hausmeister, Portier, Dienstmann, Gepäckträger, Träger;porter
Ohrring;earring
Pfeiler, Pfosten;stanchion
Nelkenwurz, Erdrose;avens
Mikrometer;micrometre
sich sträuben, zappeln, kämpfen, ringen;to struggle
Kenia;Kenya
madagassisch;Madagascan
Eingeweihter, Meister, bewandert, erfahren, kundig;adept
Honig;honey
Behälter, Besteck, Krug, Gefäß, Vase, Schiff;vessel
Bewohner, Einwohner, Insasse;inhabitant
absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar;without fail
abweichend;deviating, divergent
Abtei;abbey
oh!, ah, ach;ah
<wucherisch aufkaufen>;to monopolize, to corner
Ziegenmelker, Nachtschwalbe;nightjar
Lieferungsausschreibung, Verdingung;public tender
Specht;woodpecker
reißen, einreißen, zerreißen, zerren, zupfen;to rip
abschwören, verleugnen, leugnen, verneinen;to abnegate
Bergsport, Bergsteigen;mountaineering
Schweiß;sweat, perspiration
Verlängerung;elongation
betteln, beschwören, flehen, bitten, ersuchen;to beg
Schwärze;blackness
Topas;topaz
aschgrau, aschfahl;ashen
Partial-(ordnung), teilweise, parteiisch;partial
fest, befestigt, haltbar, wiederstandsfähig;robust, sturdy
Aufwand, Luxus;lux, luxury
Konfuzius;Confucius
ablassen, nachlassen, Rabatt geben;to discount, to rebate
Kongress;congress
keusch, züchtig;chaste
Vorbereitung;preparation
Streckenwärter;signalman
dreschen;to thresh
Kaiserkrone, Schachbrettblume;fritillary
betäuben, narkotisieren;to drug
wachen, lauern, spannen, Wache schieben, heimlich beobachten, bewachen, belauern;to spy on, to keep an eye on
gehören, schicken, sich gehören, ziemen;to be fitting, to befit
Blasebalg;bellows
Versicherungsschein, Police;insurance policy
Hindu;Hindu
Zypriotin;Cyprian woman
Aperitif;peg, snifter, nip, snorter, dram
Leuchtturm;lighthouse
Berber;Berber
schwärmen, wimmeln;to swarm
den Ehemann betrügen;to be unfaithful to, to be unfaithful
paraguayisch, Paraguayer;Paraguayan
pachten, verpachten;to farm, to lease
aalglatt;slippery as an eel
Fermium;fermium
grübeln;to rack one's brains, to puzzle over
Schwertlilie;iris
Bittsteller;applicant
Blindheit;blindness
füllen, stopfen, polstern;to stuff
bewässern, weihen, gießen, besprengen;to water
Aktivist, Aufwiegler, Mittäter, Komplize;abetter
Versicherungsschein, Police, Politik;policy
Qualle;jelly-fish
Filiale, Nebengeschäft, Zweigniederlassung;affiliate
Geleise;trail
Gewächs, Anlage, Pflanzen, Anpflanzen, Pflanzung, Anpflanzung;plant
Spirale;spiral
zwanglos;free and easy
brennen, glühen;to glow, to glow with heat
Noah;Noah
Hummel;bumblebee
Basilisk;cockatrice, basilisk
ekeln, anekeln, anwidern, Ekel erregen, mit Widerwillen erfüllen;to feel disgust for, to nauseate
ungesäuertes Brot;unleavened bread, matzo
Kloß, Klumpen;chunk, clod
jungfräulich, rein, unberührt, Jungfrau;virgin
audiovisuell;audio-visual
abgedroschen, banal, fade, trivial;commonplace
Sekte;sect
Seekrabbe, Hummer;lobster
Erklärung, Aufklärung, Erläuterung;explanation
metallisch;metallic
bedenken, erwägen, sich überlegen;to reflect on, to think about
Zollamt;custom-house, customs
Australierin;Australian woman
Becken, Schale;bowl, pelvis
Biologe;biologist
Zusammenstellung;mounting, erecting, composing, fitting up
Flanell;flannel
Wurm;worm
Reisvogel;weaver-bird
skandinavisch, Skandinave;Scandinavian
spalten, bersten, splittern;to split
Absis, Apside, Chornische, Apsis;apsis
Gänseblümchen, kleines Maßlieb, Marienblume;daisy
Union;junction, joining
Graf;earl, count
Außenlinie, Kontur, Umriss;contour
Ambulanz, Krankenwagen, Sanitätsauto, Rettungsauto, Sanka, Ambulanzwagen;ambulance
flirten, herumflattern, liebeln, tändeln, schöntun, kokettieren;to flirt
Niesen;sneeze
ebnen, ausgleichen, angleichen, nivellieren;to level
erschlagen, schlachten;to slaughter, to butcher
Metapher;metaphor
Arbeitsbock, Bank, Gestell, Staffel, Staffelei, Werkstuhl;tressle, workbench, easel
Niob;niobium
australisch, Australier;Australian
melken;to milk
autoritativ, autoritär;authoritative
auslegen, verausgaben;to pay out
pulvrig, staubig;dusty
Saite, Leine, Schnur, Seil, Strang, Strick;cord
Gelübde, Gelöbnis;vow
ähnlich machen, assimilieren;to assimilate
Revolver;revolver
anämisch, blutarm;anaemic
Aserbaidschan, aserbaidschanisch;Azerbaijan
Bagdad;Baghdad
Kruzifix;crucifix
Bohrer;bore
Trommler;drummer
Neigung, Veranlagung, Disposition, Stimmung, Tendenz, Hang (zu etwas), Lust;tendency
Pult;school desk, lectern
Affiche, Anschlag, Anschlagzettel, Plakat, Aushang, Ankündigung, Bekanntmachung, Benachrichtigung, Proklamation, Bemerkung, Beobachtung, Vermerk, Auskunft;notice
Galicien, Galizien;Galicia
Grad, Staffel, Stufe, Amtswürde, Rang, Stand, Würde;grade
heimlich;hidden
Dünger, Mist;manure, fertilizer
Rennfahrer;racing motorist, racing driver
Marokko;Morocco
Rotkäppchen;Little Red Ridinghood
Stütze;prop
Schädel;skull
Wirbelwind, Zyklon;cyclone
Radon;radon
Feigenbaum;fig-tree
Orion;Orion
gangbar;practicable, passable
Elegie, Klagelied;elegy
Mülldeponie, Müllhaufen, Spitze, Stift, Zacke, Zinke, Zipfel, Trinkgeld;tip
(Zünd-)Kerze, Tampon, Mullbinde, Pfropfen, Stöpsel;plug
Verehrerin, Verehrer;worshipper, adorer
krächzen;to caw, to croak
Sanskrit;Sanskrit
fortwährend, dauerhaft;continuously, continually
Asche;cinder
ernst, ernsthaft, gesetzt, abstinent, mäßig, nüchtern;staid
Hoheslied;Canticles, Song of Solomon, Song of Songs
sich erbrechen, sich übergeben;to vomit, to throw up
Apotheker, Pharmazeut;chemist
Heiratsantrag, Offerte, Antrag, Gebot;offer
Taubnessel;deadnettle
Krokodil;crocodile
entseelt;lifeless, inanimate
Eden;Eden
Skolopender, Bandassel, Tausendfuß;centipede
Symphonie;symphony
Gewebeblutung, Hämorrhagie;haemorrhage
Gala, Gepränge, Parade, Staat;parade, display
Drehorgel, Leierkasten;hurdy-gurdy, barrel-organ
Auszeichnung, Dekoration, Verzierung, Schmuck;décor
Angina;angina, quinsy
abstempeln;to mark, to stamp
Eilbote, Kurier;courier
Diskriminierung, unterschiedliche Behandlung;discrimination
Epik, Heldengedicht;epic poem
Bücherrevision, Buchhaltung;accounting
Erbium;erbium
Binde, Streifen;tape
Warschau;Warsaw
anbeißen;to rise to the bait, to take the bait
Karthago;Carthage
entrüsten, ärgern, bekümmern, betrüben, kränken, Kummer bereiten, verdrießen;to annoy
kampieren;to camp out
Bungalow;bungalow
Zirkulation, Verkehr;traffic
Genesis;Genesis
Wohlgeschmack;good taste
Zunder;punk, tinder
Freispruch, Absolution, Begnadigung, Vergebung, Verzeihung, Indemnität;absolution
Wasserbüffel;water buffalo, water-buffalo
Termite;termite
Gewicht, Wucht;weight
Kombination (von n Elementen zur p-ten Klasse);combination
Verwaltungsbezirk, Regierungsbezirk, Gouvernement, Provinz;province
Fahne, Lunte, Schleppe, Schweif, Wedel;tail
Argon;argon
Stimmumfang, Register, Verzeichnis;register, account book
rezensieren;to review
Bass, Barsch, Flussbarsch;bass
Chirurg, Wundarzt;surgeon
Dornschlehe, Schlehe;self-heal
Autopsie, Obduktion, Sektion, Sezierung, Zerlegung;autopsy
transitiv, übergehend;transitive
Hörgerät;hearing aid
Einflugschneise, Anflugschneise;approach route, approach path
Humor, Laune, Stimmung;temper
Abschweifung (vom Thema);digression, straying, wandering from the point
Besitz, Besitztum, Besitzung, Eigentum, Gut;possession
begeistern, eingeben, inspirieren, antreiben, anfeuern;to inspire
Amsel;blackbird
anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen, unterhalten;to sustain
Füller, Füllfeder;fountain-pen
identifizieren;to identify
zustandekommen;to come true
Spott, Spöttelei, Spotten;derision, ridicule
luftig, Luft-, oben;overhead
weh, wehe;woe
kambodschanisch;Cambodian
Flint, Kiesel, Kieselstein;flint
betrüben;to cause pain, to distress, to cause pain to, to give pain to
infam;shameful
Andorra;Andorra
Bastei, Bastion, Bollwerk;bastion
Lehnstuhl;armchair
Blech, Zinn;tin
hüten, behüten, bewachen, überwachen;to watch over
Bisam, Moschus;musk
vorhersagen, wahrsagen, prophezeien, weissagen;to prophesy, to foretell
Trillion;trillion
Monokel;monocle
Oboe;oboe
mirakulös;miraculous
Erdgas, Naturgas;natural gas
Amnestie, Begnadigung, Straferlass;act of grace, amnesty
Achselhöhle;armpit
Unschuld;innocence
Beschneidung;circumcision
Ginster;greenweed
einschläfern, betäuben;to put to sleep
Buchsbaum;box-tree
Mühle;mill
Anmut, Liebreiz, Grazie;gracefulness
Luftangriff;air raid, airstrike
Kirgisistan;Kirghizia
tauen, auftauen;to thaw
kneifen, zwicken;to pinch
färben;to tint, to dye, to colour
dumpfig, moderig;mouldy
Handgelenk;wrist
Speichel;saliva
Budget, Etat, Haushalt, Haushaltsplan;budget
Palästina;Palestine
Apostroph, Auslassungszeichen;apostrophe
Kastanienbaum;chestnut-tree
Appretur;starch
signalisieren;to signal
Tampon, Mullbinde;tampon
Mückennetz;mosquito net
Eris;Eris
Pharmazie;pharmacy
wegwischen, wischen;to delete
Frühlings-Krokus;spring crocus
Elefantenfuß, Fleschenbaum;pony-tail palm, bottle palm, elephant-foot tree
Haufen, Menge, Stapel, Masse, Gottesdienst, Messe;mass
Bunker, Zufluchtsort, Obdach, Asyl, Freistätte, Hospiz, Zuflucht, Schirm;shelter
Antriebswelle;drive shaft, driving axle
Gnom;brownie, gnome
aufführen, bieten, anbieten, darstellen, vorstellen, präsentieren;to present, to introduce, to tender
strangulieren, erdrosseln, erwürgen, würgen;to strangle
Heiratsvermittler;match-maker
Süßmandel, Süßmandelbaum;sweet almond
Labkraut;bedstraw
rauschen;to swish, to rustle
Schranke;obstacle
Rhetorik;oratory, rhetoric
erbauen, erheben;to edify
Fenchel;fennel
Kreis, Bezirk, Runde, Gesellschaft, Sozietät;circle
Europium;europium
Actinium;sea-anemone, actinium
Alpen-Küchenschelle;Alpine pasqueflower
Bengalen, bengalisch;Bengal
Isolier-Gefäß;thermos flask, thermos bottle, thermos
Übriges, Rest, Bestand, Rückstand, Überbleibsel;remainder
befestigen, festsetzen, fixieren;to make fast, to secure
erwidern;to reciprocate
Wassermelone;water-melon
Zahl, Zahlzeichen, Ziffer, Nummer;numeral
einspritzen, injizieren;to inject
Warze;wart
widerspenstig;disobedient
Karaffe;decanter, carafe
Schiedsgericht, Schiedsspruch;arbitration
Wiege;cradle
Leitfaden, Lenker, Reiseführer;guidebook
Edelmut;nobleness
Hibiskus;hibiscus
Balletttänzerin, Balletttänzer;ballet dancer
Äbtissin;abbess
Bass;bass voice
Ratte;rat
Bahnübergang;level-crossing
Jod;iodine
Beet, Flussbett, Bett;bed
kubanisch, Kubaner;Cuban
Dandy, Geck;fop, dude, dandy
Madonna;Madonna
Aal;eel
Osmium;osmium
Granit;granite
Zauber;spell, delusion
akklimatisieren;to acclimatize
Aussatz;leprosy
Kriegstreiber, Imperialist;imperialist
Bern;Berne
Gote;Goth
Konjunktiv, Subjunktiv, Volitiv;subjunctive
Lähmung;paralysis
norwegisch, Norweger;Norwegian
Folklore, Volkskultur;folklore
mild;mild
struppig;bristly, untidy, standing on end
neigen, hinneigen;to tilt
Lende;loin
Appartement, Etagenwohnung, Gemach;apartment
reduzieren;to reduce
Untergebene;subordinate
Mystizismus;mysticism
Kannibale, Menschenfresser;cannibal
Treff;clubs
Leine, Schnur, Seil, Strang, Strick;rope
despotisch, Gewaltherrschaft ausübend;despotic
Freifrau;baroness
Champagner;champagne
Delphin;dolphin
auseinandergehen;to break up
Damaskus;Damascus
geheftet;paperbacked
ausreißen, entwurzeln;to eradicate
Gehege, Hürde, Schranke, Deich, Staudamm;dam
Merkurstab, Äskulapstab, Caduceus, Heroldstab des Merkur;caduceus
Lava;lava
Zacken, Zahn, Zinke;tooth
Gesichtsfarbe, Teint;complexion
Zeichenpapier;drawing-paper
fest, feststehend, firm, gediegen, stabil, wiederstandsfähig, Firma, befestigt, haltbar, gesetzt, solide;firm
Beduine;Bedouin
Zither;zither
dürsten;to be thirsty
Pfalz;Palatinate
Feldflasche;canteen
Kolumne, Säule, Spalte, Rubrik;column
Grat, Kante, Saum, Rand;edging, brink, brim
brabantisch, Brabanter;Brabantine
Grönland;Greenland
Apfelbaum;apple-tree
Gewaltherrscher, Despot;despot
Gelenkentzündung, Arthritis, Gicht;arthritis
gesinnt, gesonnen;intentional
marokkanisch, Marokkaner;Moroccan
Monaco;Monaco
Zusammenschluss, Union, Bund;union
Mosaik;mosaic, mosaic work
anwerben, heuern, mieten, anwenden, benutzen, brauchen, gebrauchen, verwenden, verwerten;to employ
Fassade;façade
Dämon;demon
einrücken;to indent
Bolivien;Bolivia
Sultan;sultan
Aufschub, Verzögerung;adjournment, delay, abeyance
heiter, ungetrübt;serene, untroubled
Woiwod;Polish provincial governor
Ankara;Ankara, Angora
bilden, gesittet machen, zivilisieren;to civilize
Dock;dock
Aurora;Aurora
gründen, etablieren, fundieren, begründen;to erect
Ambra, Amber, Bernstein;amber
bahrainisch;Bahraini
Russisch, russische Sprache;Russian language
Fernglas, Fernrohr;binoculars
erlangen, erzielen, reichen, erreichen, ausführen, ausrichten, bestellen, erfüllen, leisten;to accomplish
kubanisch;cubic
Kampfhahn;ruff, fighting cock, gamecock
rechtsgültig;valid
Bulldozer, Planierraupe;bulldozer
Pantomime;pantomime
arg, arglistig, boshaft, hämisch, tückisch, heimtückisch;malicious, vicious
unbillig;unfair, unjust
anarchistisch, Anarchist;anarchist
Geisel;hostage
affektieren, künsteln, sich zieren, posieren;to pose
Adrenalin;adrenaline
schnuppern, schnüffeln, pusten;to snuffle
Glossar;glossary
schenken, beschenken, stiften, verehren, verschenken, erteilen, geben, herreichen;to give
Erdöl, Petroleum, Naphta;crude oil
lästern, fluchen, beeidigen, schwören, beschwören;to swear
Dienst tun, dienen, Posten stehen;to be on duty
übermäßig, überschwänglich, übertrieben;undue
Betrübnis;sorrow
Füllung (Speisen);stuffing
Zentralafrikanische Republik;Central African Republic
Modell, Muster, Schablone, Schema;model
stranden, landen;to land
Verachtung;contempt
niedrig, gemein, infam;low
brausen, sausen, zischen;to roar
Kamel;camel
Wachtelweizen;cow-wheat
Strontium;strontium
Schreib-, Zeichen- und Malkunst, Grafik, Graphik;graphics, graphic arts
Knoblauchzwiebel;garlic bulb
ziehen, verziehen, schleppen, nachschleppen;to drag
Tapete;tapestry, wall covering
Gewinde, Girlande;wreath, garland
Nimbus;nimbus
Flussbett;watercourse
Tanzsaal;ball-room
Meerkatze;meercat
Spaten;spade
Aufruhr, Aufstand, Getümmel, Krawall, Tumult;riot, tumult
Luzerne, Schneckenklee;medick
Anthropologe;anthropologist
