der, die, das;the
treten, gehen, tanzen, terrassenförmig anlegen, abstufen v;step v
kurz, klein, knapp adj;short adj
Haus n;house n
Deutsche(r) n;German n
gestern adv;yesterday adv
könne, dürfen, mögen (Hilfsverb);may - might
enden, beenden, aufhören, zu Ende gehen v;end v
groß, schwer, stark, kräftig, wichtig, großzügig, nobel, freigiebig adj;big adj
hoch, hohe(r, s) adj;high adj
zwischen, zwischen mehreren, unter mehreren;between
ja;yes
nun, jetzt, sofort, gleich, gerade, soeben, eben;now
weiter adv;on adv
alles;everything
(sich) erinnern an, denken an v;remember v
sehen, blicken, schauen, aussehen v;look v
viele;many, a lot of
Land (geographisch oder ländlich), Staat, Landschaft, Land-... n;country n
Frau, Dame, Lady n;lady n
hören (passiv mithören) v;hear (heard - heard) v
was, was für ein(e) welche, welcher, welches;what
Leben n;life - lives n
fünf adj;five adj
Stadt, Großstadt n;city n
geschehen, passieren, stattfinden, sich ereignen, vor sich gehen, ablaufen v;happen v
anführen, führen, leiten, lenken, überschreiben, eine Überschrift geben, gehen, fahren v;head v
niedrig, gering, wenig, knapp adj;low adj
grün adj;green adj
andere(r, -s), weitere(r, -s);other
ziehen, ziehen an, zerren v;pull v
ohne, außen, draußen;without
fort, fort von, weg, weg von, entfernt, ab, ab von, los-..., ab-..., herunter-... adv;off adv
Monat n;month n
Passagiere absetzen, von Bord gehen lassen, anlanden, an Land bringen, landen v;land v
alles, irgendwie, nichts;anything
etw wissen, etw kennen, etw verstehen v;know (knew - known) v
fragen, Frage stellen, bitten, einladen, auffordern v;ask v
konnte, könnte, würde v;could v
anfassen, befingern, herumfingern an v;finger v
etwas, ein bisschen;a bit
dauern, andauern, halten v;last v
Sonntag n;Sunday n
liegen, sich legen, ruhen v;lie (lay - lain) v
Geld n;money n
zehn adj;ten adj
bleiben, sich aufhalten, untergebracht sein, wohnen v;stay v
stellen, legen, setzen, platzieren, absetzen, unterbringen v;place v
hier, hierher, hierhin adv;here adv
Ende, Schluss, Tod n;end n
finden, besorgen, feststellen, herausfinden v;find (found - found) v
möglich adj;possible adj
bleiben, übrig bleiben, verbleiben, überleben v;remain v
einmal, einst, früher adv;once adv
Straße (mit Wohnhäusern) n;street n
schwer adv;heavy adv
bald, früh, schnell (zeitlich);soon
deuten, zeigen, weisen auf, hinweisen v;point v
denken, nachdenken, glauben, meinen, annehmen v;think (thought - thought) v
sprechen, reden, sich äußern v;speak (spoke - spoken) v
erste adj;1st, first adj
erste(r, s) adj;first adj
beginnen, anfangen, in Angriff nehmen v;begin (began - begun) v
Seite, Seitenwand, Wand n;side n
reiten, fahren (mit Fahrrad, Bus usw.) v;ride (rode - ridden) v
erhalten, bekommen, kriegen, bringen, herbringen, holen v;get (got - got) v
suchen (nach), jdn erwarten, etw erwarten v;look for v
Freitag n;Friday n
stattdessen, dafür;instead
Ort, Platz, Stelle, Gegend, Land, Haus, Wohnung, Rang, Stellung n;place n
beenden, enden, aufhören, abschließen, schließen v;finish v
sechs adj;six adj
neben;next
bringen, herbringen, mitbringen v;bring (brought - brought) v
sprechen, reden, (sich) unterhalten v;talk v
Montag n;Monday n
fühlen, sich anfühlen, empfinden, meinen, glauben v;feel (felt - felt) v
klein, klein und leicht, zierlich, schmächtig, gering, schmal, wenig, bescheiden, leise n;small n
mein Herr, Sir;sir
gehören, dazugehören v;belong v
bleiben, behalten, aufrechterhalten, aufbewahren, lagern, etw weiter tun, nicht aufhören etw zu tun v;keep (kept - kept) v
Arbeit, Tätigkeit, Werk n;work n
Weg, Art, Art und Weise, Richtung n;way n
Mittwoch n;Wednesday n
Frage, Anfrage, Zweifel n;question n
weiß, blass, kreidebleich, Weiß-... adj;white adj
wo, wohin, woher;where
jdn treffen, jdn begegnen, jdn kennen lernen, auf etw treffen v;meet (met - met) v
am meisten, meist (Einleitung des Superlativ);most
Donnerstag n;Thursday n
Dienstag n;Tuesday n
einen Namen geben, benennen, nennen, bezeichnen als v;name v
Leute, Menschen, Volk, Völker, die breite Masse, Einwohner n;people n
jdn/etw vergessen, sich nicht an jdn/etw erinnern v;forget (forgot - forgotten) v
sehen, nachsehen, gucken, ansehen, aufsuchen, besuchen, verstehen, einsehen, erkennen v;see (saw - seen) v
zeichnen, ziehen (einer Linie) v;draw (drew - drawn) v
ziemlich, recht, eher, lieber;rather
glauben, an Gott glauben v;believe v
ruhen, sich ausruhen, Pause machen, liegen, lehnen, sich stützen v;rest v
entlang (räumlich), vorwärts, weiter adj;along adj
setzen, pflanzen, einbetten v;bed v
zeigen, ausstellen, vorführen, beweisen, erweisen v;show (showed - shown) v
zahlen, bezahlen, begleichen v;pay (paid - paid) v
zusammen, miteinander, gemeinsam adj;together adj
warten, erwarten v;wait v
je, pro Stück, pro Person adv;each adv
Fall, Koffer, Gehäuse n;case n
nehmen, mitnehmen, wegnehmen, bringen, hinbringen, (Zeit) brauchen, fassen, fangen, einnehmen v;take (took - taken) v
Welt, Erde, Planet n;world n
fast, beinahe, geradezu adv;almost adv
Samstag, Sonnabend n;Saturday n
schreiben, aufschreiben v;write (wrote - written) v
ich möchte, du möchtest, ...;would
gern haben, gern tun, mögen v;like v
schwer, grob, stark, ernst, gewichtig adj;heavy adj
zur Untermiete wohnen v;room v
Herr n;Mister, Mr, Mr. n
sieben adj;seven adj
