fate;Bestimmung, Verhängnis, Fügung, Geschick, Los, Schicksal
airship;Luftschiff
extra;besonders, extra
to gape;anglotzen
variety entertainment;Varieté, Varietéprogramm
barbarian;Barbar
abecedarian;alphabetisch, elementar
Athenian;athenisch, Athener
belief;Überzeugung, Glaube, Glauben
canary;Kanarienvogel
fig;Feige
round-leaved penny-cress;Rundblättriges Hellerkraut
loafer;Gaffer
stingray;Rochen
Venus;Venus
demonstrative pronoun, demonstrative;Demonstrativpronomen, hinweisendes Fürwort
Aphrodite;Aphrodite
scandal;Verleumdung, Ärgernis, Skandal
porter;Hausmeister, Portier, Dienstmann, Gepäckträger, Träger
earring;Ohrring
stanchion;Pfeiler, Pfosten
avens;Nelkenwurz, Erdrose
micrometre;Mikrometer
to struggle;sich sträuben, zappeln, kämpfen, ringen
Kenya;Kenia
Madagascan;madagassisch
adept;Eingeweihter, Meister, bewandert, erfahren, kundig
honey;Honig
vessel;Behälter, Besteck, Krug, Gefäß, Vase, Schiff
inhabitant;Bewohner, Einwohner, Insasse
without fail;absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar
deviating, divergent;abweichend
abbey;Abtei
ah;oh!, ah, ach
to monopolize, to corner;<wucherisch aufkaufen>
nightjar;Ziegenmelker, Nachtschwalbe
public tender;Lieferungsausschreibung, Verdingung
woodpecker;Specht
to rip;reißen, einreißen, zerreißen, zerren, zupfen
to abnegate;abschwören, verleugnen, leugnen, verneinen
mountaineering;Bergsport, Bergsteigen
sweat, perspiration;Schweiß
elongation;Verlängerung
to beg;betteln, beschwören, flehen, bitten, ersuchen
blackness;Schwärze
topaz;Topas
ashen;aschgrau, aschfahl
partial;Partial-(ordnung), teilweise, parteiisch
robust, sturdy;fest, befestigt, haltbar, wiederstandsfähig
lux, luxury;Aufwand, Luxus
Confucius;Konfuzius
to discount, to rebate;ablassen, nachlassen, Rabatt geben
congress;Kongress
chaste;keusch, züchtig
preparation;Vorbereitung
signalman;Streckenwärter
to thresh;dreschen
fritillary;Kaiserkrone, Schachbrettblume
to drug;betäuben, narkotisieren
to spy on, to keep an eye on;wachen, lauern, spannen, Wache schieben, heimlich beobachten, bewachen, belauern
to be fitting, to befit;gehören, schicken, sich gehören, ziemen
bellows;Blasebalg
insurance policy;Versicherungsschein, Police
Hindu;Hindu
Cyprian woman;Zypriotin
peg, snifter, nip, snorter, dram;Aperitif
lighthouse;Leuchtturm
Berber;Berber
to swarm;schwärmen, wimmeln
to be unfaithful to, to be unfaithful;den Ehemann betrügen
Paraguayan;paraguayisch, Paraguayer
to farm, to lease;pachten, verpachten
slippery as an eel;aalglatt
fermium;Fermium
to rack one's brains, to puzzle over;grübeln
iris;Schwertlilie
applicant;Bittsteller
blindness;Blindheit
to stuff;füllen, stopfen, polstern
to water;bewässern, weihen, gießen, besprengen
abetter;Aktivist, Aufwiegler, Mittäter, Komplize
policy;Versicherungsschein, Police, Politik
jelly-fish;Qualle
affiliate;Filiale, Nebengeschäft, Zweigniederlassung
trail;Geleise
plant;Gewächs, Anlage, Pflanzen, Anpflanzen, Pflanzung, Anpflanzung
spiral;Spirale
free and easy;zwanglos
to glow, to glow with heat;brennen, glühen
Noah;Noah
bumblebee;Hummel
cockatrice, basilisk;Basilisk
to feel disgust for, to nauseate;ekeln, anekeln, anwidern, Ekel erregen, mit Widerwillen erfüllen
unleavened bread, matzo;ungesäuertes Brot
chunk, clod;Kloß, Klumpen
virgin;jungfräulich, rein, unberührt, Jungfrau
audio-visual;audiovisuell
commonplace;abgedroschen, banal, fade, trivial
sect;Sekte
lobster;Seekrabbe, Hummer
explanation;Erklärung, Aufklärung, Erläuterung
metallic;metallisch
to reflect on, to think about;bedenken, erwägen, sich überlegen
custom-house, customs;Zollamt
Australian woman;Australierin
bowl, pelvis;Becken, Schale
biologist;Biologe
mounting, erecting, composing, fitting up;Zusammenstellung
flannel;Flanell
worm;Wurm
weaver-bird;Reisvogel
Scandinavian;skandinavisch, Skandinave
to split;spalten, bersten, splittern
apsis;Absis, Apside, Chornische, Apsis
daisy;Gänseblümchen, kleines Maßlieb, Marienblume
junction, joining;Union
earl, count;Graf
contour;Außenlinie, Kontur, Umriss
ambulance;Ambulanz, Krankenwagen, Sanitätsauto, Rettungsauto, Sanka, Ambulanzwagen
to flirt;flirten, herumflattern, liebeln, tändeln, schöntun, kokettieren
sneeze;Niesen
to level;ebnen, ausgleichen, angleichen, nivellieren
to slaughter, to butcher;erschlagen, schlachten
metaphor;Metapher
tressle, workbench, easel;Arbeitsbock, Bank, Gestell, Staffel, Staffelei, Werkstuhl
niobium;Niob
Australian;australisch, Australier
to milk;melken
authoritative;autoritativ, autoritär
to pay out;auslegen, verausgaben
dusty;pulvrig, staubig
cord;Saite, Leine, Schnur, Seil, Strang, Strick
vow;Gelübde, Gelöbnis
to assimilate;ähnlich machen, assimilieren
revolver;Revolver
anaemic;anämisch, blutarm
Azerbaijan;Aserbaidschan, aserbaidschanisch
Baghdad;Bagdad
crucifix;Kruzifix
bore;Bohrer
drummer;Trommler
tendency;Neigung, Veranlagung, Disposition, Stimmung, Tendenz, Hang (zu etwas), Lust
school desk, lectern;Pult
notice;Affiche, Anschlag, Anschlagzettel, Plakat, Aushang, Ankündigung, Bekanntmachung, Benachrichtigung, Proklamation, Bemerkung, Beobachtung, Vermerk, Auskunft
Galicia;Galicien, Galizien
grade;Grad, Staffel, Stufe, Amtswürde, Rang, Stand, Würde
hidden;heimlich
manure, fertilizer;Dünger, Mist
racing motorist, racing driver;Rennfahrer
Morocco;Marokko
Little Red Ridinghood;Rotkäppchen
prop;Stütze
skull;Schädel
cyclone;Wirbelwind, Zyklon
radon;Radon
fig-tree;Feigenbaum
Orion;Orion
practicable, passable;gangbar
elegy;Elegie, Klagelied
tip;Mülldeponie, Müllhaufen, Spitze, Stift, Zacke, Zinke, Zipfel, Trinkgeld
plug;(Zünd-)Kerze, Tampon, Mullbinde, Pfropfen, Stöpsel
worshipper, adorer;Verehrerin, Verehrer
to caw, to croak;krächzen
Sanskrit;Sanskrit
continuously, continually;fortwährend, dauerhaft
cinder;Asche
staid;ernst, ernsthaft, gesetzt, abstinent, mäßig, nüchtern
Canticles, Song of Solomon, Song of Songs;Hoheslied
to vomit, to throw up;sich erbrechen, sich übergeben
chemist;Apotheker, Pharmazeut
offer;Heiratsantrag, Offerte, Antrag, Gebot
deadnettle;Taubnessel
crocodile;Krokodil
lifeless, inanimate;entseelt
Eden;Eden
centipede;Skolopender, Bandassel, Tausendfuß
symphony;Symphonie
haemorrhage;Gewebeblutung, Hämorrhagie
parade, display;Gala, Gepränge, Parade, Staat
hurdy-gurdy, barrel-organ;Drehorgel, Leierkasten
décor;Auszeichnung, Dekoration, Verzierung, Schmuck
angina, quinsy;Angina
to mark, to stamp;abstempeln
courier;Eilbote, Kurier
discrimination;Diskriminierung, unterschiedliche Behandlung
epic poem;Epik, Heldengedicht
accounting;Bücherrevision, Buchhaltung
erbium;Erbium
tape;Binde, Streifen
Warsaw;Warschau
to rise to the bait, to take the bait;anbeißen
Carthage;Karthago
to annoy;entrüsten, ärgern, bekümmern, betrüben, kränken, Kummer bereiten, verdrießen
to camp out;kampieren
bungalow;Bungalow
traffic;Zirkulation, Verkehr
Genesis;Genesis
good taste;Wohlgeschmack
punk, tinder;Zunder
absolution;Freispruch, Absolution, Begnadigung, Vergebung, Verzeihung, Indemnität
water buffalo, water-buffalo;Wasserbüffel
termite;Termite
weight;Gewicht, Wucht
combination;Kombination (von n Elementen zur p-ten Klasse)
province;Verwaltungsbezirk, Regierungsbezirk, Gouvernement, Provinz
tail;Fahne, Lunte, Schleppe, Schweif, Wedel
argon;Argon
register, account book;Stimmumfang, Register, Verzeichnis
to review;rezensieren
bass;Bass, Barsch, Flussbarsch
surgeon;Chirurg, Wundarzt
self-heal;Dornschlehe, Schlehe
autopsy;Autopsie, Obduktion, Sektion, Sezierung, Zerlegung
transitive;transitiv, übergehend
hearing aid;Hörgerät
approach route, approach path;Einflugschneise, Anflugschneise
temper;Humor, Laune, Stimmung
