set (set - set) v;setzen, stellen, legen, Haare legen v
step v;treten, gehen, tanzen, terrassenförmig anlegen, abstufen v
short adj;kurz, klein, knapp adj
house n;Haus n
German n;Deutsche(r) n
yesterday adv;gestern adv
may - might;könne, dürfen, mögen (Hilfsverb)
end v;enden, beenden, aufhören, zu Ende gehen v
big adj;groß, schwer, stark, kräftig, wichtig, großzügig, nobel, freigiebig adj
high adj;hoch, hohe(r, s) adj
between;zwischen, zwischen mehreren, unter mehreren
yes;ja
now;nun, jetzt, sofort, gleich, gerade, soeben, eben
on adv;weiter adv
everything;alles
remember v;(sich) erinnern an, denken an v
look v;sehen, blicken, schauen, aussehen v
many, a lot of;viele
country n;Land (geographisch oder ländlich), Staat, Landschaft, Land-... n
lady n;Frau, Dame, Lady n
hear (heard - heard) v;hören (passiv mithören) v
what;was, was für ein(e) welche, welcher, welches
life - lives n;Leben n
five adj;fünf adj
city n;Stadt, Großstadt n
happen v;geschehen, passieren, stattfinden, sich ereignen, vor sich gehen, ablaufen v
head v;anführen, führen, leiten, lenken, überschreiben, eine Überschrift geben, gehen, fahren v
low adj;niedrig, gering, wenig, knapp adj
green adj;grün adj
other;andere(r, -s), weitere(r, -s)
pull v;ziehen, ziehen an, zerren v
without;ohne, außen, draußen
off adv;fort, fort von, weg, weg von, entfernt, ab, ab von, los-..., ab-..., herunter-... adv
month n;Monat n
land v;Passagiere absetzen, von Bord gehen lassen, anlanden, an Land bringen, landen v
anything;alles, irgendwie, nichts
know (knew - known) v;etw wissen, etw kennen, etw verstehen v
ask v;fragen, Frage stellen, bitten, einladen, auffordern v
could v;konnte, könnte, würde v
finger v;anfassen, befingern, herumfingern an v
a bit;etwas, ein bisschen
last v;dauern, andauern, halten v
Sunday n;Sonntag n
lie (lay - lain) v;liegen, sich legen, ruhen v
money n;Geld n
ten adj;zehn adj
stay v;bleiben, sich aufhalten, untergebracht sein, wohnen v
place v;stellen, legen, setzen, platzieren, absetzen, unterbringen v
here adv;hier, hierher, hierhin adv
end n;Ende, Schluss, Tod n
find (found - found) v;finden, besorgen, feststellen, herausfinden v
possible adj;möglich adj
remain v;bleiben, übrig bleiben, verbleiben, überleben v
once adv;einmal, einst, früher adv
street n;Straße (mit Wohnhäusern) n
heavy adv;schwer adv
soon;bald, früh, schnell (zeitlich)
point v;deuten, zeigen, weisen auf, hinweisen v
think (thought - thought) v;denken, nachdenken, glauben, meinen, annehmen v
speak (spoke - spoken) v;sprechen, reden, sich äußern v
1st, first adj;erste adj
first adj;erste(r, s) adj
begin (began - begun) v;beginnen, anfangen, in Angriff nehmen v
side n;Seite, Seitenwand, Wand n
ride (rode - ridden) v;reiten, fahren (mit Fahrrad, Bus usw.) v
get (got - got) v;erhalten, bekommen, kriegen, bringen, herbringen, holen v
look for v;suchen (nach), jdn erwarten, etw erwarten v
Friday n;Freitag n
instead;stattdessen, dafür
place n;Ort, Platz, Stelle, Gegend, Land, Haus, Wohnung, Rang, Stellung n
finish v;beenden, enden, aufhören, abschließen, schließen v
six adj;sechs adj
next;neben
bring (brought - brought) v;bringen, herbringen, mitbringen v
talk v;sprechen, reden, (sich) unterhalten v
Monday n;Montag n
feel (felt - felt) v;fühlen, sich anfühlen, empfinden, meinen, glauben v
small n;klein, klein und leicht, zierlich, schmächtig, gering, schmal, wenig, bescheiden, leise n
sir;mein Herr, Sir
belong v;gehören, dazugehören v
keep (kept - kept) v;bleiben, behalten, aufrechterhalten, aufbewahren, lagern, etw weiter tun, nicht aufhören etw zu tun v
work n;Arbeit, Tätigkeit, Werk n
way n;Weg, Art, Art und Weise, Richtung n
Wednesday n;Mittwoch n
question n;Frage, Anfrage, Zweifel n
white adj;weiß, blass, kreidebleich, Weiß-... adj
where;wo, wohin, woher
meet (met - met) v;jdn treffen, jdn begegnen, jdn kennen lernen, auf etw treffen v
most;am meisten, meist (Einleitung des Superlativ)
Thursday n;Donnerstag n
Tuesday n;Dienstag n
name v;einen Namen geben, benennen, nennen, bezeichnen als v
people n;Leute, Menschen, Volk, Völker, die breite Masse, Einwohner n
forget (forgot - forgotten) v;jdn/etw vergessen, sich nicht an jdn/etw erinnern v
see (saw - seen) v;sehen, nachsehen, gucken, ansehen, aufsuchen, besuchen, verstehen, einsehen, erkennen v
draw (drew - drawn) v;zeichnen, ziehen (einer Linie) v
rather;ziemlich, recht, eher, lieber
believe v;glauben, an Gott glauben v
rest v;ruhen, sich ausruhen, Pause machen, liegen, lehnen, sich stützen v
along adj;entlang (räumlich), vorwärts, weiter adj
bed v;setzen, pflanzen, einbetten v
show (showed - shown) v;zeigen, ausstellen, vorführen, beweisen, erweisen v
pay (paid - paid) v;zahlen, bezahlen, begleichen v
together adj;zusammen, miteinander, gemeinsam adj
wait v;warten, erwarten v
each adv;je, pro Stück, pro Person adv
case n;Fall, Koffer, Gehäuse n
take (took - taken) v;nehmen, mitnehmen, wegnehmen, bringen, hinbringen, (Zeit) brauchen, fassen, fangen, einnehmen v
world n;Welt, Erde, Planet n
almost adv;fast, beinahe, geradezu adv
Saturday n;Samstag, Sonnabend n
write (wrote - written) v;schreiben, aufschreiben v
would;ich möchte, du möchtest, ...
like v;gern haben, gern tun, mögen v
heavy adj;schwer, grob, stark, ernst, gewichtig adj
room v;zur Untermiete wohnen v
Mister, Mr, Mr. n;Herr n
seven adj;sieben adj
follow v;folgen, nachfolgen, befolgen, erfolgen v
different adj;anders, andere(r, s), unterschiedlich, verschieden, ausgefallen, ungewöhnlich adj
Switzerland n;die Schweiz n
American adj;amerikanisch adj
quick adj;schnell, prompt adj
away adj;weg, fort, entfernt adj
beat (beat - beaten), smite (smote - smitten) v;schlagen v
full adj;voll adj
build (built - built) v;bauen, erbauen v
early adj;früh, frühzeitig, zeitig, früher (als erwartet usw.) adj
late;spät, später als üblich, zu spät, verspätet, jüngste(r, s), neueste
die adj;sterben, umkommen, vergehen, dahinschwinden, erlöschen adj
instead of;anstatt, statt, an Stelle von
room n;Platz, Raum, Saal, Zimmer n
fall (fell - fallen) v;fallen, stürzen, herunterfallen v
seem v;scheinen, erscheinen, vorkommen (als, wie) v
often adj;oft, häufig adj
carry v;jdn tragen, etw tragen, etw übertragen (Medizin) v
even v;glatt machen, eben machen, glätten v
less adj;weniger, abzüglich adj
possibly adv;möglicherweise, vielleicht adv
call v;rufen, anrufen, nennen, bezeichnen v
eight adj;acht adj
never adv;nie, niemals adv
try v;versuchen, ausprobieren, probieren v
near adj;nahe, annähernd, fast, beinahe adj
son n;Sohn, mein Junge n
care v;sich kümmern, sorgen v
tomorrow adv;morgen adv
pretty adj;hübsch, nett, ganz schön, ziemlich adj
black adj;schwarz adj
alone adj;allein, alleine adj
ready adj;bereit, fertig, parat, zur Hand, griffbereit adj
simple adj;einfach, simpel, schlicht, leicht adj
love v;lieben, gerne mögen v
help n;Hilfe n
voice n;Stimme n
book n;Buch, Heft n
free adj;frei, kostenlos, gratis, Frei-... adj
beside;neben (räumlich), außer, abgesehen von
piece n;Stück, Stückchen, Teil, Figur (Spielfigur), Theaterstück, Werk n
play n;Spiel, Schauspiel, Theaterstück n
hunt v;jagen, fahnden nach, suchen v
some v;etwas, einige, ein paar, manche, irgendein, irgendeine, irgendwelche v
time v;Zeit stoppen, Zeit messen v
whole n;ganze(r, -s) n
red adj;rot adj
mother n;Mutter, Muttertier n
help v;helfen v
run (ran - run) v;laufen, rennen, davonlaufen, wegrennen v
several adj;einige, mehrere, verschiedene adj
word n;Wort, Nachricht, Versprechen n
catch (caught - caught) v;einfangen, fangen, erwischen, erreichen, bekommen v
our;unser(e)
own adj;eigene(r, s) adj
understand (understood - understood) v;verstehen, begreifen v
easy adj;leicht, bequem, einfach, mühelos, ohne Aufwand adj
fine adj;fein, schön, ausgezeichnet, erlesen adj
start n;Anfang, Beginn, Gründung, Start n
rich adj;reich, prächtig, teuer, üppig, fruchtbar, voll, kräftig, stark adj
wait for v;warten auf v
next adv;das nächste Mal, danach adv
strong adj;stark, kräftig, stabil, solide, robust adj
deep adj;tief adj
part n;Teil, Bestandteil, Ersatzteil, Folge, Beteiligung, Part n
Swiss n;Schweizer, Schweizerin n
story n;Geschichte, Erzählung, Artikel, Handlung n
hope v;hoffen v
nobody;niemand, keiner
anybody;irgendwer, irgendjemand, jeder
possible n;Möglichkeit, das in Frage kommende n
close v;schließen, zumachen, zuziehen, abschließen v
car n;Auto, Wagen n
behind adv;hinter (räumlich, zeitlich), dahinter, hinten adv
name n;Name, Ruf, Persönlichkeit n
finish n;Oberflächenbeschaffenheit, Ergebnis, Endspurt, Finish n
water n;Wasser n
fall n;Fall, Sturz, Einnahme, Eroberung, Zusammenbruch, Sinken, Gefälle, Herbst n
evening n;Abend n
meaning n;Bedeutung, Sinn n
better adj;besser, günstiger adj
right adj;rechts, richtig, wahr, korrekt adj
2nd, second adj;zweite adj
fight (fought - fought) v;kämpfen, kämpfen gegen, sich schlagen mit, sich prügeln mit v
