special help;Förderunterricht;Education(MSW);Englisch
sports;Sport(arten);Education(MSW);Englisch
sports ground;Sportplatz;Education(MSW);Englisch
staffroom  --  staff;Lehrerzimmer  --  Lehrpersonal;Education(MSW);Englisch
state school;staatliche Schule;Education(MSW);Englisch
strict;streng;Education(MSW);Englisch
term;Trimester (in GB wird das Schuljahr in drei Trimester geteilt);Education(MSW);Englisch
timetable;hier: Stundenplan;Education(MSW);Englisch
to *be absent;fehlen, abwesend sein;Education(MSW);Englisch
to *be at a school;an einer Schule sein;Education(MSW);Englisch
to *be cancelled;ausfallen, gestrichen werden;Education(MSW);Englisch
to *be expelled;"von der Schule ""fliegen""";Education(MSW);Englisch
to *be good / bad / …at sth.;gut / schlecht / …in etwas sein;Education(MSW);Englisch
to *be present;anwesend sein;Education(MSW);Englisch
to *be run by the state;staatlich geführt werden;Education(MSW);Englisch
to *be suspended;zeitweilig vom Unterricht ausgeschlossen werden;Education(MSW);Englisch
to *choose sth.  --  choice;etwas wählen  --  Wahl;Education(MSW);Englisch
to *do written exams;schriftliche Prüfungen machen;Education(MSW);Englisch
to *get detention  --  detention;nachsitzen müssen  --  Arrest, Haft;Education(MSW);Englisch
to *go to school;in die Schule gehen;Education(MSW);Englisch
to *go to university;studieren;Education(MSW);Englisch
to *leave school;die Schule verlassen, von der Schule abgehen;Education(MSW);Englisch
to *pay a fee;hier: Schuldgeld bezahlen;Education(MSW);Englisch
to *put emphasis on sth.;Gewicht / Wert auf etwas legen;Education(MSW);Englisch
to *set an exam;hier: eine Prüfung abhalten;Education(MSW);Englisch
to *sit / re-sit an exam;eine Prüfung machen / wiederholen;Education(MSW);Englisch
to *take an exam;eine Prüfung schreiben / machen;Education(MSW);Englisch
to apply for a place  --  application;sich um einen (Studien-)Platz bewerben  --  Bewerbung;Education(MSW);Englisch
to attend a school  --  to attend school;eine Schule besuchen  --  die Schule besuchen;Education(MSW);Englisch
to behave (well / badly)  --  behaviour;sich (gut / schlecht) betragen  --  Betragen, Verhalten;Education(MSW);Englisch
to cheat;schummeln, mogeln;Education(MSW);Englisch
to copy (from s.o.);(von jdm./ abschreiben;Education(MSW);Englisch
to drop a subject;ein Fach abwählen;Education(MSW);Englisch
