shift work;Schichtarbeit;The world of work (MSW);Englisch
shop assistant;Verkäufer/in;The world of work (MSW);Englisch
situations vacant  --  situation;Stellenangebote, freie Stellen, hier: Stelle;The world of work (MSW);Englisch
skill  --  skilled;"Fertigkeit  --  ausgebildet, qualifiziert; geschickt";The world of work (MSW);Englisch
skilled worker  <-->  unskilled worker;Facharbeiter/in  <-->  Hilfsarbeiter/in;The world of work (MSW);Englisch
social worker;Sozialarbeiter/in;The world of work (MSW);Englisch
soldier;Soldat/in;The world of work (MSW);Englisch
strike;Streik;The world of work (MSW);Englisch
success  --  to succeed;Erfolg  --  Erfolg haben;The world of work (MSW);Englisch
successful  <-->  unsuccessful;erfolgreich  <-->  erfolglos;The world of work (MSW);Englisch
technical ability;technisches Können;The world of work (MSW);Englisch
technical college;technische Fachhochschule;The world of work (MSW);Englisch
technician;Techniker/in;The world of work (MSW);Englisch
the disabled  --  disabled;Behinderte (als Gruppe)  --  behindert;The world of work (MSW);Englisch
the dole;das Arbeitslosengeld;The world of work (MSW);Englisch
to * be on unemployment benefit;Arbeitslosengeld beziehen;The world of work (MSW);Englisch
to *be made redundant;den Arbeitsplatz verlieren  --  arbeitslos werden;The world of work (MSW);Englisch
to *be out of work  =  to be unemployed;arbeitslos sein;The world of work (MSW);Englisch
to *do overtime;Überstunden machen;The world of work (MSW);Englisch
to *do voluntary work  -- voluntary;ehrenamtlich tätig sein  --  freiwillig;The world of work (MSW);Englisch
to *get a rise;eine Gehaltserhöhung bekommen;The world of work (MSW);Englisch
to *get on with s.o.;mit jdm. gut auskommen;The world of work (MSW);Englisch
to *go on strike  =  to strike;streiken;The world of work (MSW);Englisch
to *have a reputation for sth.  --  reputation;bekannt für etwas sein  --  Ruf;The world of work (MSW);Englisch
to *run a firm;eine Firma leiten;The world of work (MSW);Englisch
to *think ahead;an die Zukunft denken;The world of work (MSW);Englisch
to apply for a traineeship job;sich um eine Ausbildungsstelle/Stelle bewerben;The world of work (MSW);Englisch
to close down;schließen (Werk, Fabrik);The world of work (MSW);Englisch
to create sth.;etwas erschaffen /kreieren;The world of work (MSW);Englisch
to earn (good) money;(gut) Geld verdienen;The world of work (MSW);Englisch
to enclose sth.;etwas beilegen;The world of work (MSW);Englisch
to fire s.o.;jdn. feuern;The world of work (MSW);Englisch
to follow instructions;Anweisungen befolgen;The world of work (MSW);Englisch
to increase sth.  --  to increase;etwas erhöhen  --  sich erhöhen;The world of work (MSW);Englisch
to install sth.;etwas installieren;The world of work (MSW);Englisch
to promote s.o. (to sth.);jdn. (zu etwas) befördern;The world of work (MSW);Englisch
to repair sth.;etwas reparieren;The world of work (MSW);Englisch
to retire  --  retired;sich zur Ruhe setzen, in Rente gehen  --  pensioniert;The world of work (MSW);Englisch
to share in sth.;hier: an etwas teilnehmen;The world of work (MSW);Englisch
to train for sth.;sich für etwas ausbilden lassen;The world of work (MSW);Englisch
to type (sth.);(etwas) tippen, Maschine schreiben;The world of work (MSW);Englisch
to update sth.;etwas auf den neuesten Stand bringen;The world of work (MSW);Englisch
trade union;Gewerkschaft;The world of work (MSW);Englisch
traffic warden;Verkehrspolizist/in, Politesse;The world of work (MSW);Englisch
trainee;Auszubildende/r, Azubi;The world of work (MSW);Englisch
translator   --  to translate sth.;Übersetzer/in  --  etwas übersetzen;The world of work (MSW);Englisch
travel agent;Reisebüroangestellte/r;The world of work (MSW);Englisch
trial period;Probezeit;The world of work (MSW);Englisch
unemployed  =  on the dole (slang);arbeitslos;The world of work (MSW);Englisch
unemployment;Arbeitslosigkeit;The world of work (MSW);Englisch
vacancy;freie Stelle;The world of work (MSW);Englisch
vet;Tierarzt/-ärztin;The world of work (MSW);Englisch
veterinary nurse;Tierarzthelfer/in;The world of work (MSW);Englisch
vocational course;berufliches Ausbildungsprogramm;The world of work (MSW);Englisch
wages (plur!);(Wochen-)Lohn;The world of work (MSW);Englisch
work experience;"Arbeitserfahrung; Praktikum";The world of work (MSW);Englisch
working conditions;Arbeitsbedingungen;The world of work (MSW);Englisch
working day;Arbeitstag;The world of work (MSW);Englisch
