Racial Equality Act;Rassengleichheitsgesetz;Conflicts(MSW);Englisch
racism  --  racist (adj./noun);"Rassismus  --  rassistisch; Rassist/in";Conflicts(MSW);Englisch
rape  --  to rape s.o.  --  rapist;Vergewaltigung  --  jdn. vergewaltigen  --  Vergewaltiger;Conflicts(MSW);Englisch
refugee;Flüchtling;Conflicts(MSW);Englisch
relationship building;der Aufbau von Beziehungen;Conflicts(MSW);Englisch
religion  --  religious;Religion, Glaube  --  religiös;Conflicts(MSW);Englisch
resentment  --  to resent sth.;Ärger, Groll  --  etwas übel nehmen;Conflicts(MSW);Englisch
reservation;Reservat;Conflicts(MSW);Englisch
rival  --  rival;konkurrierend  --  Rivale, Rivalin, Konkurrent/in;Conflicts(MSW);Englisch
second-class citizen;ürger/in zweiter Klasse;Conflicts(MSW);Englisch
segregation;(Rassen-)Trennung;Conflicts(MSW);Englisch
sense of identity;Identitätsbewußtsein;Conflicts(MSW);Englisch
severe;hart, streng;Conflicts(MSW);Englisch
shocked  --  shocking;schockiert, entsetzt  --  schockierend;Conflicts(MSW);Englisch
shoplifting;Ladendiebstahl;Conflicts(MSW);Englisch
skin colour;Hauptfarbe;Conflicts(MSW);Englisch
slavery  --  slave;Sklaverei  --  Sklave, Sklavin;Conflicts(MSW);Englisch
stereotyped;klischeehaft, stereotyp;Conflicts(MSW);Englisch
struggle = battle;(langer) Kampf;Conflicts(MSW);Englisch
suicide bombing;Selbstmordattentat;Conflicts(MSW);Englisch
suspicious of s.o./sth.  --  suspicion;misstrauisch gegenüber jdm./etwas  --  Verdacht, Misstrauen;Conflicts(MSW);Englisch
sympathy  --  to sympathize (with s.o.);Mitgefühl, Teilnahme  --  (mit jdm.) mitfühlen;Conflicts(MSW);Englisch
tension  --  tense;Spannung(en)  --  (an)gespannt;Conflicts(MSW);Englisch
terrorism;Terrorismus;Conflicts(MSW);Englisch
terrorist (noun/adj.);"Terrorist/in; terroristisch, Terror-";Conflicts(MSW);Englisch
terrorist attack;Terroranschlag;Conflicts(MSW);Englisch
the Aborigines;die Ureinwohner Australiens;Conflicts(MSW);Englisch
the best of both worlds;das Beste aus beiden Welten;Conflicts(MSW);Englisch
theft  --  thief  (pl. thieves);Diebstahl  --  Dieb/in;Conflicts(MSW);Englisch
to *be caught between two cultures;zwischen zwei Kulturen stehen;Conflicts(MSW);Englisch
to *be proud of s.o./sth.  --  pride;auf jdn./etwas stolz sein  --  Stolz;Conflicts(MSW);Englisch
to *beat s.o. up;jdn. zusammenschlagen;Conflicts(MSW);Englisch
to *blow sth. up;etwas in die Luft sprengen;Conflicts(MSW);Englisch
to *break the law;gegen das Gesetz verstoßen;Conflicts(MSW);Englisch
to *do damage to sth.;etwas beschädigen;Conflicts(MSW);Englisch
to *drive s.o. off sth.;jdn. von etwas vertreiben;Conflicts(MSW);Englisch
