organic food;Öko-Lebensmittel, Biokost;World Problems(MSW);Englisch
ecosystem  --  ecology;Ökosystem  --  Ökologie;World Problems(MSW);Englisch
ozone layer;Ozonschicht;World Problems(MSW);Englisch
pesticide;Pestizid, Schädlingsbekämpfungsmittel;World Problems(MSW);Englisch
deposit;Pfand;World Problems(MSW);Englisch
returnable bottle;Pfandflasche;World Problems(MSW);Englisch
planet ;Planet;World Problems(MSW);Englisch
plastic bag;Plastiktüte;World Problems(MSW);Englisch
source;Quelle;World Problems(MSW);Englisch
raw material;Rohstoff;World Problems(MSW);Englisch
decline  <-->   rise;Rückgang, Verschlechterung  <-->  Anstieg;World Problems(MSW);Englisch
acid rain;saurer Regen;World Problems(MSW);Englisch
damage (sing. only!)  --  to damage sth.;Schaden  --  etwas beschädigen;World Problems(MSW);Englisch
eventually = in the end;schließlich, nach einer gewissen Zeit;World Problems(MSW);Englisch
to *make an effort;sich anstrengen, sich bemühen;World Problems(MSW);Englisch
to *spread;sich ausbreiten;World Problems(MSW);Englisch
to double;sich verdippeln;World Problems(MSW);Englisch
security  --  secure;Sicherheit  --  sicher;World Problems(MSW);Englisch
solar energy;Sonnenenergie;World Problems(MSW);Englisch
donation  --  to donate sth.;Spende  --  etwas spenden;World Problems(MSW);Englisch
electricity  --  electric;Strom  --  elektrisch;World Problems(MSW);Englisch
wildlife;Tierwelt (Tiere in freier Wildbahn);World Problems(MSW);Englisch
greenhouse effect;Treibhauseffektglobal  --  globe;World Problems(MSW);Englisch
environment;Umwelt;World Problems(MSW);Englisch
environment-friendly;umweltfreundlich;World Problems(MSW);Englisch
incredible;unglaublich;World Problems(MSW);Englisch
housing (sing. only!);Unterkunft, Wohnungen;World Problems(MSW);Englisch
traffic;Verkehr;World Problems(MSW);Englisch
supply  --  to supply s.o. with sth.;Vorrat, Versorgung  --  jdn. mit etwas versorgen;World Problems(MSW);Englisch
growth  --  to *grow;Wachstum  --  wachsen;World Problems(MSW);Englisch
water power;Wasserkraft;World Problems(MSW);Englisch
worldwide (adj.+adv.);weltweit;World Problems(MSW);Englisch
recycling  --  to recycle sth.;Wiederverwertung, Recycling  --  etwas wieder verwerten;World Problems(MSW);Englisch
wind power;Windenergie;World Problems(MSW);Englisch
economic growth;Wirtschaftswachstum;World Problems(MSW);Englisch
charity;Wohltätigkeitsverein;World Problems(MSW);Englisch
destruction  --  to destroy sth.;Zerstörung  --  etwas zerstören;World Problems(MSW);Englisch
to result in sth.  --  result;zu etwas führen  --  Folge, Ergebnis;World Problems(MSW);Englisch
future  <-->  past;Zukunft  <-->  Vergangenheit;World Problems(MSW);Englisch
to increase  --  increase;zunehmen, stärker werden  --  Zunahme, Steigerung;World Problems(MSW);Englisch
