wertlos;worthless
ändern, umändern, verändern, sich ändern;to alter
freundlich, liebenswürdig, delikat, fein, zart;dainty
Abwesenheit;non-attendance
Erdgeschoss;ground floor, ground-floor
Vieh, Tier, Bestie, brutal;brute
sieben;seven, to sift
vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum), voll;complete
Abkunft, Abstammung, Herkunft, Ursprung;lineage
Beefsteak;steak, beefsteak
Therapie;therapy
Ursprung;origin
Abenteuer;adventure
übertragen, ausstrahlen, verbreiten;to broadcast
betreffs, anbelangt, betreffend, über, von, bezüglich;concerning
trachten nach, sich anstrengen, sich bemühen, sich abmühen, sich Mühe geben;to endeavour
Hauptmann, Kapitän;captain
Barmherzigkeit;mercifulness
X-Achse, Abszisse;abscissa
Abteil, Coupé, Kupee;coupé
rasieren, abschaben;to shave off
Mohammed;Muhammad, Mohammed
Ermutigung, Ermunterung;encouragement
auffassen, wahrnehmen, finden, befinden, erachten, ermitteln, vorfinden;to find
Nachthemd;nightie, night-dress, night-shirt, night-gown
-bar, -lich, -wert;-able, -ible
Erwerb, Errungenschaft, Neuerwerbung, Neuanschaffung, Beute, Kauf, Einkauf;acquisition
beten;to pray
sich erstrecken, eilen, rennen, laufen;to run
backen;to bake
Schwiegersohn;son-in-law
Stiller Ozean, Pazifik;Pacific, Pacific Ocean
Bischof;bishop
erscheinen;to emerge
Sabbat, Samstag, Sonnabend;Sabbath
Tropfen;drop
sich gedulden;to be patient
Beute, Errungenschaft, Erwerb;asset
Ballspiel;ballgame
entfernt, entlegen, fern, weit;far
rechtwinklig;right-angle
Kapitel;chapter
Spritze;syringe
Altertum;antiquity
gründlich, triftig;fundamental
vervollständigen;to complete
Lafette, Karosse, Kutsche, Bahnwagen, Wagen, Waggon;carriage
schwedisch;Swedish
deklamieren, vortragen;to declaim
Hochzeit;wedding-party, wedding
Anbetung, Verehrung;worship, adoration
Gardine, Vorhang;curtain
Schminke;make-up, make up
Auskunft, Bekanntmachung;message
Atomkraftwerk, Kernkraftwerk;atomic powerstation
anläßlich, halber, um ... willen, wegen, zufolge;owing to
der unsere, das unsere;ours
veraltet;archaic
trübe;indistinct
gleich, sofort, umgehend, sogleich;right now, promptly, right away
bleiben, übrigbleiben;to stay, to stay over
Forelle;trout
bezeichnend, charakteristisch, kennzeichnend;characteristic
unter, mitten unter, zwischen, inmitten von;among
Steuererklärung;tax form
angrenzend, anstoßend;adjoining
addieren, hinzurechnen;to add up
Anschluss, Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung;connection
Zufall, Risiko, Wagnis;hazard
annehmbar, akzeptabel, willkommen, glaubhaft;acceptable
jagen;to hunt
Handwerker;artisan
Kunst-, kunstvoll, künstlich, künstlerisch, Kunst...;artistic
laut, mündlich;orally
Rand;margin
befriedigen, zufriedenstellen;to satisfy, to meet with
Apfelsaft;apple juice
Hof;courtyard
Börse;wallet, purse
vorig;prior, previous
Gehör;hearing
militärisch, Kriegs-;military
Ersatz;substitution
garstig, verabscheuenswürdig, verabscheuenswert, widerwärtig, entsetzlich, furchtbar, schrecklich, grässlich, grausig;horrible
Hammer;hammer
Einverständnis;mutual understanding
Major, Haupt-, hauptsächlich;major
Jux, Scherz, Spaß;joke, gag
Islam;Islam
Billett, Fahrkarte, Karte;ticket
Jugend, Jüngling;youth
drapieren, mit Tuch bekleiden, schmücken;to drape
Beute, Raub;booty
schwarz, Schwarz;black
außerdem, übrigens, zudem, fort, weiter;moreover
antworten, beantworten, entgegnen, erwidern;to reply, to respond, to answer
Neid;envy
braten, rösten;to roast
leiten;to head up
juhu, hurra;hurray
Anlaß, Veranlassung, Antrieb, Beweggrund, Grund, Motiv;motive
kontrastieren, sich abheben, sich unterscheiden;to contrast
Chor, Sängerchor;choir, chorus
im Überfluss, reichlich;abundantly
romantisch;romantic
anderswo, anderswohin;elsewhere
Strömung, Bach;stream
würdevoll, würdig;dignified
Gen;gene
Dämmerung;twilight
Soll, Rückstand, Schuld, Debet;debit
Abteilung, Fach, Sektion;section
gemütlich, innig, intim, vertraulich, vertraut, bevorstehend, kommend, künftig, nächst, nahe;close
Generation, Geschlecht;generation
befragen;to interrogate
Kolumbus;Columbus
weshalb, weswegen;what for, wherefore
Erklärung, Auskunft, Bericht, Bescheid, Interesse, Zins, Kalkül, Aufklärung, Erläuterung, Mitteilung, Nachricht, Konto, Rechnung, Antrieb, Beweggrund, Grund, Motiv, Beschreibung, Erzählung, Geschichte, Meldung, Rapport, Referat, Vortrag, Nutzen, Vorteil;account
Heiratsantrag;offer of parriage, offer of marriage
fromm, gelassen, ruhig, sanft, gemütlich, still;calm
Puppe;doll
irden, steinern, Stein;stone
eifrig;zealous, full of zeal
lüften;to air out, to give an airing
hohl;hollow, concave
heißen, nennen, benennen, ernennen, rufen, anrufen;to call
ausdauernd, beharrlich;persistent
Birne, Glühbirne, Zwiebel;bulb
Angestellter, Arbeitnehmer;employee
ungefähr;approximate
Brühe, Sauce, Soße, Tunke;sauce, gravy
Schwaben;Swabia
beisteuern, beitragen;to contribute
Abhang, Halde, Steilung;slope, acclivity, hillside
betreffs, bezüglich;as regards, with reference to, as to
aufwärts, empor, herauf, hinauf, nach oben;up, uphill, upwards
schließen, verschließen, zumachen, zufallen;to close
beschädigen, Schaden zufügen, verderben, verletzen, pfuschen, verschlechtern, verschlimmern;to spoil
der seine, die seine, das seine;his
Badeort;spa
Bruch, Bruchstück, Fragment, Stück, Anteil, Teil, Fleck, Partie;piece
demonstrieren, vorführen, aufzeigen, begründen, beweisen;to prove
Aula, Salon;salon, lounge, parlour
Berater, Rat;consultant
Rat, Ratschlag, Auskunft, Bekanntmachung;advice
benötigen, brauchen, nötig haben, erfordern, verlangen, zumuten;to require
Weste;waistcoat
jeder, ein jeder, jedermann, jeglicher;every one, every, everybody, each, all the
Widerspruch, Gegensatz, Opposition;opposition
in Misskredit bringen, anmerken, aufschreiben, aufzeichnen, notieren;to write down
Prozess;lawsuit
Schauspielerin;actress
beeilen, beschleunigen, fördern, befördern;to accelerate
Hirschkuh, Hindin, nachträglich, später;hind
fundieren, gründen, begründen;to found
geistreich, sinnreich, witzig;lively, witty
Posaune;trombone
hören, vernehmen, erfahren;to hear
Abdomen, Bauch, Unterleib;lower part of the body
behaupten, bestätigen, vergewissern;to assure
Verwaltung, Regierung;administration
Ekstase, Entzückung;ecstasy
misstrauen, argwöhnen, verdächtigen;to suspect
Agio, Aufgeld, Prämie, Preis;premium
Gefolge, Zug, Eisenbahnzug;train
Verzeichnis, Ordner, Heft;folder
Hinterrad;back wheel, rear wheel, hind wheel
gründlich;thoroughly
Auffassung, Begriff, Verständnis, Sinn, Verstand;sense
Tankstelle;filling station
stirnseitig, frontal, frontseitig, an, gegen, gegenüber, wider, verkehrt, drüben, im Jenseits, jenseits;opposite
hauen, schlagen, klopfen, treffen;to hit
Haus...;domesticated, house-
Mechaniker;mechanic
erneuern;to renew
Wohnort, Wohnsitz, Wohnhaus, Wohnung;residence
Zigarettenstummel;stub, cigarette-end
Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung;league
Umfang;circumference
beschwören, flehen;to beseech
Eifer, Inbrunst;fervour, zeal
binden, mit einem Band befestigen;to tape
Material, Zutat;data
männlich;masculine, male
Hauptwort, Substantiv;substantive, noun
Ball, Globus, Kugel, Sphäre;ball
schwer, unangebracht, ungünstig, unzweckmäßig, unpassend, importun;inconvenient
Lager, Bestand, Vorrat;stock
Aktie, Anteilschein, Anteil, Teil, Portion, Ration, Stück, Partie;share
naiv;naïf, naïve
husten;to cough
unvorbereitet;unprepared
anschaffen, beschaffen, besorgen, verschaffen, ausstatten, versehen, versorgen;to provide
überflüssig;overflowing, superfluous
Hase;hare
Spannung;voltage
voraussetzen, bedingen;to stipulate, to set conditions
hart, schwer, anstrengend;hard
Sünde;transgression, sin
heiser;hoarse
behandeln, heilen, kurieren;to care for
Anfall, Angriff, Offensive, Eingang, Eintritt, Andrang, Antrieb, Impuls;access
Heiratsantrag, Antrag, Gebot;proposal
anführen, erwähnen, nennen, zitieren;to cite, to quote
Boot, Schaluppe;boat
irre, toll, verrückt, wahnsinnig, rabiat, tollwütig, wütend;mad
Vulkan;volcano
Moskau;Moscow
Sieb;sieve
horizontal, waagerecht;horizontal
Selbstvertrauen;self-reliance, self-confidence
beleidigen, schimpfen, beschimpfen, schelten, missbrauchen, kränken, verletzen, martern, peinigen, quälen;to abuse
Ehemann, Gemahl, Gatte;husband
Sachsen;Saxe, Saxony
dank;thanks to
unerforschlich, hoffnungslos, grundlos, entsetzlich, furchtbar, schrecklich, grässlich;abysmal
Charakter, Gemüt, Persönlichkeit;personality
klein, winzig;tiny
