worthless;wertlos
to alter;ändern, umändern, verändern, sich ändern
dainty;freundlich, liebenswürdig, delikat, fein, zart
non-attendance;Abwesenheit
ground floor, ground-floor;Erdgeschoss
brute;Vieh, Tier, Bestie, brutal
seven, to sift;sieben
complete;vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum), voll
lineage;Abkunft, Abstammung, Herkunft, Ursprung
steak, beefsteak;Beefsteak
therapy;Therapie
origin;Ursprung
adventure;Abenteuer
to broadcast;übertragen, ausstrahlen, verbreiten
concerning;betreffs, anbelangt, betreffend, über, von, bezüglich
to endeavour;trachten nach, sich anstrengen, sich bemühen, sich abmühen, sich Mühe geben
captain;Hauptmann, Kapitän
mercifulness;Barmherzigkeit
abscissa;X-Achse, Abszisse
coupé;Abteil, Coupé, Kupee
to shave off;rasieren, abschaben
Muhammad, Mohammed;Mohammed
encouragement;Ermutigung, Ermunterung
to find;auffassen, wahrnehmen, finden, befinden, erachten, ermitteln, vorfinden
nightie, night-dress, night-shirt, night-gown;Nachthemd
-able, -ible;-bar, -lich, -wert
acquisition;Erwerb, Errungenschaft, Neuerwerbung, Neuanschaffung, Beute, Kauf, Einkauf
to pray;beten
to run;sich erstrecken, eilen, rennen, laufen
to bake;backen
son-in-law;Schwiegersohn
Pacific, Pacific Ocean;Stiller Ozean, Pazifik
bishop;Bischof
to emerge;erscheinen
Sabbath;Sabbat, Samstag, Sonnabend
drop;Tropfen
to be patient;sich gedulden
asset;Beute, Errungenschaft, Erwerb
ballgame;Ballspiel
far;entfernt, entlegen, fern, weit
right-angle;rechtwinklig
chapter;Kapitel
syringe;Spritze
antiquity;Altertum
fundamental;gründlich, triftig
to complete;vervollständigen
carriage;Lafette, Karosse, Kutsche, Bahnwagen, Wagen, Waggon
Swedish;schwedisch
to declaim;deklamieren, vortragen
wedding-party, wedding;Hochzeit
worship, adoration;Anbetung, Verehrung
curtain;Gardine, Vorhang
make-up, make up;Schminke
message;Auskunft, Bekanntmachung
atomic powerstation;Atomkraftwerk, Kernkraftwerk
owing to;anläßlich, halber, um ... willen, wegen, zufolge
ours;der unsere, das unsere
archaic;veraltet
indistinct;trübe
right now, promptly, right away;gleich, sofort, umgehend, sogleich
to stay, to stay over;bleiben, übrigbleiben
trout;Forelle
characteristic;bezeichnend, charakteristisch, kennzeichnend
among;unter, mitten unter, zwischen, inmitten von
tax form;Steuererklärung
adjoining;angrenzend, anstoßend
to add up;addieren, hinzurechnen
connection;Anschluss, Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung
hazard;Zufall, Risiko, Wagnis
acceptable;annehmbar, akzeptabel, willkommen, glaubhaft
to hunt;jagen
artisan;Handwerker
artistic;Kunst-, kunstvoll, künstlich, künstlerisch, Kunst...
orally;laut, mündlich
margin;Rand
to satisfy, to meet with;befriedigen, zufriedenstellen
apple juice;Apfelsaft
courtyard;Hof
wallet, purse;Börse
prior, previous;vorig
hearing;Gehör
military;militärisch, Kriegs-
substitution;Ersatz
horrible;garstig, verabscheuenswürdig, verabscheuenswert, widerwärtig, entsetzlich, furchtbar, schrecklich, grässlich, grausig
hammer;Hammer
mutual understanding;Einverständnis
major;Major, Haupt-, hauptsächlich
joke, gag;Jux, Scherz, Spaß
Islam;Islam
ticket;Billett, Fahrkarte, Karte
youth;Jugend, Jüngling
to drape;drapieren, mit Tuch bekleiden, schmücken
booty;Beute, Raub
black;schwarz, Schwarz
moreover;außerdem, übrigens, zudem, fort, weiter
to reply, to respond, to answer;antworten, beantworten, entgegnen, erwidern
envy;Neid
to roast;braten, rösten
to head up;leiten
hurray;juhu, hurra
motive;Anlaß, Veranlassung, Antrieb, Beweggrund, Grund, Motiv
to contrast;kontrastieren, sich abheben, sich unterscheiden
choir, chorus;Chor, Sängerchor
abundantly;im Überfluss, reichlich
romantic;romantisch
elsewhere;anderswo, anderswohin
stream;Strömung, Bach
dignified;würdevoll, würdig
gene;Gen
twilight;Dämmerung
debit;Soll, Rückstand, Schuld, Debet
section;Abteilung, Fach, Sektion
close;gemütlich, innig, intim, vertraulich, vertraut, bevorstehend, kommend, künftig, nächst, nahe
generation;Generation, Geschlecht
to interrogate;befragen
Columbus;Kolumbus
what for, wherefore;weshalb, weswegen
account;Erklärung, Auskunft, Bericht, Bescheid, Interesse, Zins, Kalkül, Aufklärung, Erläuterung, Mitteilung, Nachricht, Konto, Rechnung, Antrieb, Beweggrund, Grund, Motiv, Beschreibung, Erzählung, Geschichte, Meldung, Rapport, Referat, Vortrag, Nutzen, Vorteil
offer of parriage, offer of marriage;Heiratsantrag
calm;fromm, gelassen, ruhig, sanft, gemütlich, still
doll;Puppe
stone;irden, steinern, Stein
zealous, full of zeal;eifrig
to air out, to give an airing;lüften
hollow, concave;hohl
to call;heißen, nennen, benennen, ernennen, rufen, anrufen
persistent;ausdauernd, beharrlich
bulb;Birne, Glühbirne, Zwiebel
employee;Angestellter, Arbeitnehmer
approximate;ungefähr
sauce, gravy;Brühe, Sauce, Soße, Tunke
Swabia;Schwaben
to contribute;beisteuern, beitragen
slope, acclivity, hillside;Abhang, Halde, Steilung
as regards, with reference to, as to;betreffs, bezüglich
up, uphill, upwards;aufwärts, empor, herauf, hinauf, nach oben
to close;schließen, verschließen, zumachen, zufallen
to spoil;beschädigen, Schaden zufügen, verderben, verletzen, pfuschen, verschlechtern, verschlimmern
his;der seine, die seine, das seine
spa;Badeort
piece;Bruch, Bruchstück, Fragment, Stück, Anteil, Teil, Fleck, Partie
to prove;demonstrieren, vorführen, aufzeigen, begründen, beweisen
salon, lounge, parlour;Aula, Salon
consultant;Berater, Rat
advice;Rat, Ratschlag, Auskunft, Bekanntmachung
to require;benötigen, brauchen, nötig haben, erfordern, verlangen, zumuten
waistcoat;Weste
every one, every, everybody, each, all the;jeder, ein jeder, jedermann, jeglicher
opposition;Widerspruch, Gegensatz, Opposition
to write down;in Misskredit bringen, anmerken, aufschreiben, aufzeichnen, notieren
lawsuit;Prozess
actress;Schauspielerin
to accelerate;beeilen, beschleunigen, fördern, befördern
hind;Hirschkuh, Hindin, nachträglich, später
to found;fundieren, gründen, begründen
lively, witty;geistreich, sinnreich, witzig
trombone;Posaune
to hear;hören, vernehmen, erfahren
